,School,Date,Venue,Opponent,Result/Line
3015,San Diego,2-23,A,Gonzaga,L
3016,San Diego,2-25,H,Santa Clara,L
3017,San Diego,3-02,N,Portland,L
3018,UCF,11-07,H,UNC Asheville,L
3019,UCF,11-11,H,Florida St.,W
3020,UCF,11-14,H,Western Illinois,W
3021,UCF,11-18,N,Oklahoma St.,W
3022,UCF,11-20,N,Santa Clara,W
3023,UCF,11-23,H,Evansville,W
3024,UCF,11-27,H,Miami FL,L
3025,UCF,12-04,H,Samford,W
3026,UCF,12-11,H,Tarleton St.,W
3027,UCF,12-14,A,Mississippi,W
3028,UCF,12-17,N,Missouri,L
3029,UCF,12-21,H,Stetson,W
3030,UCF,12-28,H,Wichita St.,W
3031,UCF,12-31,A,Houston,L
3032,UCF,1-04,A,East Carolina,W
3033,UCF,1-08,H,SMU,W
3034,UCF,1-11,H,Memphis,W
3035,UCF,1-14,A,Tulane,L
3036,UCF,1-21,A,South Florida,L
3037,UCF,1-25,H,Houston,L
3038,UCF,1-28,H,Temple,L
3039,UCF,2-04,A,Cincinnati,L
3040,UCF,2-08,A,Wichita St.,W
3041,UCF,2-11,H,Tulsa,W
3042,UCF,2-16,A,Memphis,L
3043,UCF,2-19,H,Cincinnati,L
3044,UCF,2-22,H,South Florida,L
3045,UCF,2-26,A,Tulsa,W
3046,UCF,3-02,A,Temple,L
3047,UCF,3-05,H,East Carolina,W
3048,UCF,3-09,N,SMU,W
3049,UCF,3-10,N,Memphis,L
3050,UCF,3-15,A,Florida,W
3051,San Jose St.,11-08,H,Georgia Southern,W
3052,San Jose St.,11-12,H,Bethesda (CA),W
3053,San Jose St.,11-15,H,Alabama St.,W
3054,San Jose St.,11-17,H,Hofstra,L
3055,San Jose St.,11-19,A,Northern Colorado,W
3056,San Jose St.,11-25,N,North Texas,L
3057,San Jose St.,11-26,N,Oakland,W
3058,San Jose St.,11-27,N,Ball St.,W
3059,San Jose St.,12-03,A,Arkansas,L
3060,San Jose St.,12-06,H,Cal St. Bakersfield,W
3061,San Jose St.,12-10,A,Santa Clara,W
3062,San Jose St.,12-17,A,Pacific,L
3063,San Jose St.,12-20,H,Cal Poly,W
3064,San Jose St.,12-28,H,UNLV,W
3065,San Jose St.,12-31,A,Colorado St.,W
3066,San Jose St.,1-03,A,Boise St.,L
3067,San Jose St.,1-07,H,Nevada,L
3068,San Jose St.,1-10,H,Fresno St.,W
3069,San Jose St.,1-17,A,New Mexico,L
3070,San Jose St.,1-21,A,Utah St.,L
3071,San Jose St.,1-24,H,Air Force,W
3072,San Jose St.,1-28,A,San Diego St.,L
3073,San Jose St.,2-04,H,Wyoming,W
3074,San Jose St.,2-07,A,Fresno St.,L
3075,San Jose St.,2-11,H,Utah St.,W
3076,San Jose St.,2-14,A,UNLV,W
3077,San Jose St.,2-17,H,New Mexico,L
3078,San Jose St.,2-21,A,Nevada,L
3079,San Jose St.,2-25,H,Boise St.,W
3080,San Jose St.,2-28,H,Colorado St.,W
3081,San Jose St.,3-04,A,Air Force,W
3082,San Jose St.,3-09,N,Nevada,W
3083,San Jose St.,3-10,N,San Diego St.,L
3084,George Washington,11-07,H,Virginia St.,W
3085,George Washington,11-11,H,Howard,W
3086,George Washington,11-14,A,Hofstra,L
3087,George Washington,11-18,H,Maryland Eastern Shore,W
3088,George Washington,11-22,H,UC San Diego,L
3089,George Washington,11-26,H,New Hampshire,W
3090,George Washington,11-30,H,South Carolina,W
3091,George Washington,12-04,A,Radford,L
3092,George Washington,12-10,H,American,L
3093,George Washington,12-13,H,Coppin St.,W
3094,George Washington,12-22,N,Washington St.,L
3095,George Washington,12-23,N,Pepperdine,L
3096,George Washington,12-25,N,Seattle,L
3097,George Washington,12-31,A,Loyola Chicago,W
3098,George Washington,1-04,A,Richmond,L
3099,George Washington,1-07,H,Massachusetts,W
3100,George Washington,1-14,H,Saint Louis,L
3101,George Washington,1-16,A,George Mason,W
3102,George Washington,1-21,H,Dayton,W
3103,George Washington,1-25,H,Saint Joseph's,W
3104,George Washington,1-28,A,Fordham,L
3105,George Washington,2-01,A,La Salle,L
3106,George Washington,2-04,H,Duquesne,L
3107,George Washington,2-08,H,Richmond,W
3108,George Washington,2-11,A,Saint Joseph's,L
3109,George Washington,2-15,H,George Mason,L
3110,George Washington,2-19,A,St. Bonaventure,W
3111,George Washington,2-22,A,Rhode Island,W
3112,George Washington,2-25,H,La Salle,W
3113,George Washington,3-01,A,Davidson,W
3114,George Washington,3-04,H,VCU,L
3115,George Washington,3-08,N,Saint Joseph's,L
3116,Akron,11-07,H,South Dakota St.,W
3117,Akron,11-11,N,Mississippi St.,L
3118,Akron,11-15,H,Morgan St.,W
3119,Akron,11-21,N,Western Kentucky,W
3120,Akron,11-22,N,LSU,L
3121,Akron,11-23,N,Nevada,L
3122,Akron,11-30,A,Marshall,L
3123,Akron,12-04,H,Muskingum,W
3124,Akron,12-11,H,Jackson St.,W
3125,Akron,12-14,H,Wright St.,W
3126,Akron,12-19,H,Maine,W
3127,Akron,12-22,A,Bradley,L
3128,Akron,12-30,H,Concord,W
3129,Akron,1-03,H,Northern Illinois,W
3130,Akron,1-06,A,Ball St.,L
3131,Akron,1-10,A,Bowling Green,W
3132,Akron,1-13,H,Eastern Michigan,W
3133,Akron,1-17,A,Central Michigan,W
3134,Akron,1-21,A,Western Michigan,W
3135,Akron,1-24,H,Miami OH,W
3136,Akron,1-28,H,Ohio,W
3137,Akron,1-31,A,Buffalo,W
3138,Akron,2-03,H,Kent St.,W
3139,Akron,2-07,H,Toledo,L
3140,Akron,2-10,A,Ohio,L
3141,Akron,2-14,A,Eastern Michigan,W
3142,Akron,2-18,H,Buffalo,W
3143,Akron,2-21,A,Toledo,L
3144,Akron,2-25,H,Western Michigan,W
3145,Akron,2-28,H,Ball St.,W
3146,Akron,3-03,A,Kent St.,L
3147,Akron,3-09,N,Buffalo,W
3148,Akron,3-10,N,Kent St.,L
3149,Syracuse,11-07,H,Lehigh,W
3150,Syracuse,11-15,H,Colgate,L
3151,Syracuse,11-19,H,Northeastern,W
3152,Syracuse,11-21,N,Richmond,W
3153,Syracuse,11-22,N,St. John's,L
3154,Syracuse,11-26,H,Bryant,L
3155,Syracuse,11-29,A,Illinois,L
3156,Syracuse,12-03,A,Notre Dame,W
3157,Syracuse,12-06,H,Oakland,W
3158,Syracuse,12-10,H,Georgetown,W
3159,Syracuse,12-12,H,Monmouth,W
3160,Syracuse,12-17,H,Cornell,W
3161,Syracuse,12-20,H,Pittsburgh,L
3162,Syracuse,12-31,H,Boston College,W
3163,Syracuse,1-03,A,Louisville,W
3164,Syracuse,1-07,A,Virginia,L
3165,Syracuse,1-11,H,Virginia Tech,W
3166,Syracuse,1-14,H,Notre Dame,W
3167,Syracuse,1-16,A,Miami FL,L
3168,Syracuse,1-21,A,Georgia Tech,W
3169,Syracuse,1-24,H,North Carolina,L
3170,Syracuse,1-28,A,Virginia Tech,L
3171,Syracuse,1-30,H,Virginia,L
3172,Syracuse,2-04,A,Boston College,W
3173,Syracuse,2-08,A,Florida St.,W
3174,Syracuse,2-14,H,North Carolina St.,W
3175,Syracuse,2-18,H,Duke,L
3176,Syracuse,2-22,A,Clemson,L
3177,Syracuse,2-25,A,Pittsburgh,L
3178,Syracuse,2-28,H,Georgia Tech,L
3179,Syracuse,3-04,H,Wake Forest,W
3180,Syracuse,3-08,N,Wake Forest,L
3181,North Texas,11-07,H,Southern Nazarene,W
3182,North Texas,11-13,A,Saint Mary's,L
3183,North Texas,11-19,H,Fresno St.,W
3184,North Texas,11-22,H,Paul Quinn,W
3185,North Texas,11-25,N,San Jose St.,W
3186,North Texas,11-26,N,Long Beach St.,W
3187,North Texas,11-27,N,UNC Wilmington,L
3188,North Texas,12-03,H,Nebraska Omaha,W
3189,North Texas,12-06,A,UT Arlington,W
3190,North Texas,12-10,N,Grand Canyon,W
3191,North Texas,12-17,N,Massachusetts,W
3192,North Texas,12-22,A,UTSA,W
3193,North Texas,12-29,H,Florida Atlantic,L
3194,North Texas,12-31,H,FIU,W
3195,North Texas,1-05,A,Western Kentucky,W
3196,North Texas,1-07,A,Middle Tennessee,W
3197,North Texas,1-11,H,Louisiana Tech,W
3198,North Texas,1-14,A,Florida Atlantic,L
3199,North Texas,1-16,A,FIU,W
3200,North Texas,1-19,H,Rice,L
3201,North Texas,1-21,A,UAB,W
3202,North Texas,1-26,H,UTSA,W
3203,North Texas,1-28,H,UTEP,W
3204,North Texas,2-04,A,Rice,W
3205,North Texas,2-09,H,UAB,W
3206,North Texas,2-11,H,Charlotte,W
3207,North Texas,2-16,A,Louisiana Tech,W
3208,North Texas,2-18,A,UTEP,W
3209,North Texas,2-23,A,Charlotte,L
3210,North Texas,3-02,H,Middle Tennessee,W
3211,North Texas,3-04,H,Western Kentucky,W
3212,North Texas,3-09,N,Louisiana Tech,W
3213,North Texas,3-10,N,UAB,L
3214,North Texas,3-15,H,Alcorn St.,W
3215,BYU,11-07,H,Idaho St.,W
3216,BYU,11-11,A,San Diego St.,L
3217,BYU,11-16,H,Missouri St.,W
3218,BYU,11-19,H,Nicholls St.,W
3219,BYU,11-23,N,USC,L
3220,BYU,11-24,N,Butler,L
3221,BYU,11-25,N,Dayton,W
3222,BYU,11-29,N,Westminster (UT),W
3223,BYU,12-03,N,South Dakota,L
3224,BYU,12-07,H,Utah Valley,L
3225,BYU,12-10,N,Creighton,W
3226,BYU,12-15,H,Western Oregon,W
3227,BYU,12-17,H,Utah,W
3228,BYU,12-20,H,Lindenwood,W
3229,BYU,12-22,H,Weber St.,W
3230,BYU,12-29,A,Pacific,W
3231,BYU,12-31,H,Portland,W
3232,BYU,1-05,A,Loyola Marymount,L
3233,BYU,1-07,A,San Diego,W
3234,BYU,1-12,H,Gonzaga,L
3235,BYU,1-14,H,Pepperdine,W
3236,BYU,1-19,A,Santa Clara,L
3237,BYU,1-21,A,San Francisco,L
3238,BYU,1-28,H,Saint Mary's,L
3239,BYU,2-02,H,Loyola Marymount,W
3240,BYU,2-04,H,Pacific,W
3241,BYU,2-09,A,Pepperdine,L
3242,BYU,2-11,A,Gonzaga,L
3243,BYU,2-16,H,Santa Clara,L
3244,BYU,2-18,A,Saint Mary's,L
3245,BYU,2-25,H,San Francisco,W
3246,BYU,3-03,N,Portland,W
3247,BYU,3-04,N,Loyola Marymount,W
3248,BYU,3-06,N,Saint Mary's,L
3249,Wichita St.,11-07,H,Central Arkansas,W
3250,Wichita St.,11-12,H,Alcorn St.,L
3251,Wichita St.,11-17,A,Richmond,W
3252,Wichita St.,11-21,N,Grand Canyon,W
3253,Wichita St.,11-22,N,San Francisco,L
3254,Wichita St.,11-26,H,Tarleton St.,W
3255,Wichita St.,11-29,H,Missouri,L
3256,Wichita St.,12-03,A,Kansas St.,L
3257,Wichita St.,12-10,H,Longwood,W
3258,Wichita St.,12-13,H,Mississippi Valley St.,W
3259,Wichita St.,12-17,N,Oklahoma St.,L
3260,Wichita St.,12-22,H,Texas Southern,W
3261,Wichita St.,12-28,A,UCF,L
3262,Wichita St.,12-31,H,East Carolina,L
3263,Wichita St.,1-05,H,Cincinnati,L
3264,Wichita St.,1-08,A,South Florida,W
3265,Wichita St.,1-14,H,Tulsa,W
3266,Wichita St.,1-19,A,Memphis,L
3267,Wichita St.,1-22,A,SMU,W
3268,Wichita St.,1-25,H,Tulane,L
3269,Wichita St.,1-29,A,East Carolina,W
3270,Wichita St.,2-02,H,Houston,L
3271,Wichita St.,2-05,A,Tulsa,W
3272,Wichita St.,2-08,H,UCF,L
3273,Wichita St.,2-12,H,SMU,W
3274,Wichita St.,2-16,A,Temple,W
3275,Wichita St.,2-23,H,Memphis,L
3276,Wichita St.,2-26,A,Tulane,W
3277,Wichita St.,3-02,A,Houston,L
3278,Wichita St.,3-05,H,South Florida,W
3279,Wichita St.,3-09,N,Tulsa,W
3280,Wichita St.,3-10,N,Tulane,L
3281,North Florida,11-07,A,Gonzaga,L
3282,North Florida,11-11,A,Washington,L
3283,North Florida,11-19,H,South Carolina St.,W
3284,North Florida,11-21,A,Duquesne,L
3285,North Florida,11-23,A,Kentucky,L
3286,North Florida,11-29,H,Trinity Baptist,W
3287,North Florida,12-03,A,High Point,L
3288,North Florida,12-06,A,Houston,L
3289,North Florida,12-10,H,Bethune Cookman,W
3290,North Florida,12-17,A,Pittsburgh,L
3291,North Florida,12-19,H,Davis & Elkins,W
3292,North Florida,12-22,A,Bethune Cookman,W
3293,North Florida,12-31,H,Austin Peay,W
3294,North Florida,1-02,A,Stetson,L
3295,North Florida,1-05,H,Kennesaw St.,W
3296,North Florida,1-07,A,Florida Gulf Coast,L
3297,North Florida,1-12,A,Jacksonville St.,L
3298,North Florida,1-14,A,Kennesaw St.,L
3299,North Florida,1-19,H,Queens,W
3300,North Florida,1-21,H,Liberty,L
3301,North Florida,1-26,A,Central Arkansas,L
3302,North Florida,1-28,A,North Alabama,L
3303,North Florida,2-02,A,Jacksonville,W
3304,North Florida,2-04,H,Jacksonville,W
3305,North Florida,2-09,H,Florida Gulf Coast,L
3306,North Florida,2-11,H,Stetson,W
3307,North Florida,2-16,A,Lipscomb,W
3308,North Florida,2-18,A,Austin Peay,L
3309,North Florida,2-22,H,Eastern Kentucky,W
3310,North Florida,2-24,H,Bellarmine,W
3311,North Florida,2-27,N,Bellarmine,L
3312,Princeton,11-07,H,Hofstra,L
3313,Princeton,11-11,A,Navy,L
3314,Princeton,11-14,A,UMBC,W
3315,Princeton,11-19,A,Marist,W
3316,Princeton,11-24,N,Army,W
3317,Princeton,11-26,N,Northeastern,W
3318,Princeton,11-30,H,Cairn,W
3319,Princeton,12-03,A,Drexel,W
3320,Princeton,12-06,H,Lafayette,W
3321,Princeton,12-10,H,Monmouth,W
3322,Princeton,12-13,N,Iona,L
3323,Princeton,12-16,H,Delaware,L
3324,Princeton,12-23,H,Kean,W
3325,Princeton,12-31,H,Harvard,W
3326,Princeton,1-06,A,Columbia,W
3327,Princeton,1-07,A,Cornell,W
3328,Princeton,1-14,A,Brown,L
3329,Princeton,1-16,A,Penn,W
3330,Princeton,1-21,H,Dartmouth,W
3331,Princeton,1-28,A,Yale,L
3332,Princeton,2-03,H,Cornell,W
3333,Princeton,2-04,H,Columbia,W
3334,Princeton,2-11,A,Dartmouth,L
3335,Princeton,2-17,H,Brown,W
3336,Princeton,2-18,H,Yale,L
3337,Princeton,2-25,A,Harvard,W
3338,Princeton,3-04,H,Penn,W
3339,Princeton,3-11,H,Penn,W
3340,Princeton,3-12,H,Yale,W
3341,Notre Dame,11-10,H,Radford,W
3342,Notre Dame,11-13,H,Youngstown St.,W
3343,Notre Dame,11-16,H,Southern Indiana,W
3344,Notre Dame,11-18,H,Lipscomb,W
3345,Notre Dame,11-22,H,Bowling Green,W
3346,Notre Dame,11-25,N,St. Bonaventure,L
3347,Notre Dame,11-30,H,Michigan St.,W
3348,Notre Dame,12-03,H,Syracuse,L
3349,Notre Dame,12-07,H,Boston University,W
3350,Notre Dame,12-11,H,Marquette,L
3351,Notre Dame,12-18,N,Georgia,L
3352,Notre Dame,12-21,A,Florida St.,L
3353,Notre Dame,12-27,H,Jacksonville,W
3354,Notre Dame,12-30,H,Miami FL,L
3355,Notre Dame,1-03,A,Boston College,L
3356,Notre Dame,1-07,A,North Carolina,L
3357,Notre Dame,1-10,H,Georgia Tech,W
3358,Notre Dame,1-14,A,Syracuse,L
3359,Notre Dame,1-17,H,Florida St.,L
3360,Notre Dame,1-21,H,Boston College,L
3361,Notre Dame,1-24,A,North Carolina St.,L
3362,Notre Dame,1-28,H,Louisville,W
3363,Notre Dame,2-04,H,Wake Forest,L
3364,Notre Dame,2-08,A,Georgia Tech,L
3365,Notre Dame,2-11,H,Virginia Tech,L
3366,Notre Dame,2-14,A,Duke,L
3367,Notre Dame,2-18,A,Virginia,L
3368,Notre Dame,2-22,H,North Carolina,L
3369,Notre Dame,2-25,A,Wake Forest,L
3370,Notre Dame,3-01,H,Pittsburgh,W
3371,Notre Dame,3-04,A,Clemson,L
3372,Notre Dame,3-07,N,Virginia Tech,L
3373,South Alabama,11-09,H,Mobile,W
3374,South Alabama,11-11,A,New Mexico,L
3375,South Alabama,11-15,H,Alabama,L
3376,South Alabama,11-18,A,Oklahoma,L
3377,South Alabama,11-25,N,Evansville,W
3378,South Alabama,11-26,N,Towson,L
3379,South Alabama,11-27,N,Robert Morris,W
3380,South Alabama,11-30,A,Florida Atlantic,L
3381,South Alabama,12-04,A,UAB,L
3382,South Alabama,12-12,A,Alabama A&M,W
3383,South Alabama,12-19,H,Spring Hill,W
3384,South Alabama,12-21,H,Jacksonville St.,W
3385,South Alabama,12-29,A,Georgia Southern,L
3386,South Alabama,12-31,A,Georgia St.,L
3387,South Alabama,1-05,H,Arkansas St.,W
3388,South Alabama,1-07,H,Texas St.,L
3389,South Alabama,1-12,H,James Madison,W
3390,South Alabama,1-14,H,Louisiana Lafayette,L
3391,South Alabama,1-19,A,Southern Miss,L
3392,South Alabama,1-21,A,Coastal Carolina,L
3393,South Alabama,1-26,H,Old Dominion,L
3394,South Alabama,1-28,H,Troy,W
3395,South Alabama,2-02,A,Arkansas St.,W
3396,South Alabama,2-04,A,Louisiana Monroe,W
3397,South Alabama,2-09,A,Troy,L
3398,South Alabama,2-11,H,Appalachian St.,W
3399,South Alabama,2-13,H,Hartford,W
3400,South Alabama,2-16,H,Southern Miss,W
3401,South Alabama,2-18,H,Louisiana Monroe,W
3402,South Alabama,2-22,A,Texas St.,W
3403,South Alabama,2-24,A,Louisiana Lafayette,L
3404,South Alabama,3-02,N,Appalachian St.,W
3405,South Alabama,3-04,N,Southern Miss,W
3406,South Alabama,3-05,N,James Madison,W
3407,South Alabama,3-06,N,Louisiana Lafayette,L
3408,Northwestern,11-07,H,Chicago St.,W
3409,Northwestern,11-11,H,Northern Illinois,W
3410,Northwestern,11-15,A,Georgetown,W
3411,Northwestern,11-18,H,Fort Wayne,W
3412,Northwestern,11-22,N,Liberty,W
3413,Northwestern,11-23,N,Auburn,L
3414,Northwestern,11-28,H,Pittsburgh,L
3415,Northwestern,12-04,A,Michigan St.,W
3416,Northwestern,12-11,H,Prairie View A&M,W
3417,Northwestern,12-17,H,DePaul,W
3418,Northwestern,12-20,H,Illinois Chicago,W
3419,Northwestern,12-29,H,Brown,W
3420,Northwestern,1-01,H,Ohio St.,L
3421,Northwestern,1-04,H,Illinois,W
3422,Northwestern,1-08,A,Indiana,W
3423,Northwestern,1-11,H,Rutgers,L
3424,Northwestern,1-15,A,Michigan,L
3425,Northwestern,1-23,H,Wisconsin,W
3426,Northwestern,1-25,A,Nebraska,W
3427,Northwestern,1-28,H,Minnesota,W
3428,Northwestern,1-31,A,Iowa,L
3429,Northwestern,2-02,H,Michigan,L
3430,Northwestern,2-05,A,Wisconsin,W
3431,Northwestern,2-09,A,Ohio St.,W
3432,Northwestern,2-12,H,Purdue,W
3433,Northwestern,2-15,H,Indiana,W
3434,Northwestern,2-19,H,Iowa,W
3435,Northwestern,2-23,A,Illinois,L
3436,Northwestern,2-26,A,Maryland,L
3437,Northwestern,3-01,H,Penn St.,L
3438,Northwestern,3-05,A,Rutgers,W
3439,Northwestern,3-10,N,Penn St.,L
3440,Loyola Marymount,11-07,H,LIFE Pacific,W
3441,Loyola Marymount,11-10,H,UC Riverside,L
3442,Loyola Marymount,11-12,H,UC Davis,W
3443,Loyola Marymount,11-15,A,UC Irvine,L
3444,Loyola Marymount,11-18,N,Georgetown,W
3445,Loyola Marymount,11-20,N,Wake Forest,W
3446,Loyola Marymount,11-23,H,Morgan St.,W
3447,Loyola Marymount,11-25,H,Bellarmine,W
3448,Loyola Marymount,11-30,A,Colorado St.,L
3449,Loyola Marymount,12-03,H,Nevada,W
3450,Loyola Marymount,12-07,A,Grand Canyon,W
3451,Loyola Marymount,12-10,N,Utah St.,L
3452,Loyola Marymount,12-18,H,Cleveland St.,W
3453,Loyola Marymount,12-21,H,Tulsa,W
3454,Loyola Marymount,12-29,A,Portland,W
3455,Loyola Marymount,12-31,A,Pacific,L
3456,Loyola Marymount,1-05,H,BYU,W
3457,Loyola Marymount,1-07,H,San Francisco,L
3458,Loyola Marymount,1-12,A,Saint Mary's,L
3459,Loyola Marymount,1-14,H,San Diego,W
3460,Loyola Marymount,1-19,A,Gonzaga,W
3461,Loyola Marymount,1-26,H,Portland,W
3462,Loyola Marymount,1-28,H,Pepperdine,W
3463,Loyola Marymount,2-02,A,BYU,L
3464,Loyola Marymount,2-04,A,San Diego,L
3465,Loyola Marymount,2-09,H,Saint Mary's,W
3466,Loyola Marymount,2-11,A,Santa Clara,L
3467,Loyola Marymount,2-16,H,Gonzaga,L
3468,Loyola Marymount,2-18,H,Pacific,W
3469,Loyola Marymount,2-25,A,Pepperdine,W
3470,Loyola Marymount,3-04,N,BYU,L
3471,Arizona St.,11-07,H,Tarleton St.,W
3472,Arizona St.,11-10,H,Northern Arizona,W
3473,Arizona St.,11-13,A,Texas Southern,L
3474,Arizona St.,11-16,N,VCU,W
3475,Arizona St.,11-17,N,Michigan,W
3476,Arizona St.,11-22,H,Grambling St.,W
3477,Arizona St.,11-27,H,Alcorn St.,W
3478,Arizona St.,12-01,A,Colorado,W
3479,Arizona St.,12-04,H,Stanford,W
3480,Arizona St.,12-07,A,SMU,W
3481,Arizona St.,12-12,N,Creighton,W
3482,Arizona St.,12-18,H,San Diego,W
3483,Arizona St.,12-21,A,San Francisco,L
3484,Arizona St.,12-31,H,Arizona,L
3485,Arizona St.,1-05,H,Washington St.,W
3486,Arizona St.,1-08,H,Washington,W
3487,Arizona St.,1-12,A,Oregon,W
3488,Arizona St.,1-14,A,Oregon St.,W
3489,Arizona St.,1-19,H,UCLA,L
3490,Arizona St.,1-21,H,USC,L
3491,Arizona St.,1-26,A,Washington,L
3492,Arizona St.,1-28,A,Washington St.,L
3493,Arizona St.,2-02,H,Oregon St.,W
3494,Arizona St.,2-04,H,Oregon,L
3495,Arizona St.,2-09,A,Stanford,W
3496,Arizona St.,2-11,A,California,W
3497,Arizona St.,2-16,H,Colorado,L
3498,Arizona St.,2-18,H,Utah,W
3499,Arizona St.,2-25,A,Arizona,W
3500,Arizona St.,3-02,A,UCLA,L
3501,Arizona St.,3-04,A,USC,L
3502,Arizona St.,3-08,N,Oregon St.,W
3503,Arizona St.,3-09,N,USC,W
3504,Arizona St.,3-10,N,Arizona,L
3505,Arizona St.,3-15,N,Nevada,W
3506,Wofford,11-07,H,Bob Jones,W
3507,Wofford,11-12,A,High Point,L
3508,Wofford,11-14,A,Drake,L
3509,Wofford,11-18,H,Gardner Webb,W
3510,Wofford,11-20,H,North Carolina A&T,W
3511,Wofford,11-23,H,North Greenville,W
3512,Wofford,11-27,A,LSU,L
3513,Wofford,12-01,H,Presbyterian,W
3514,Wofford,12-03,A,Vanderbilt,L
3515,Wofford,12-06,H,Coastal Carolina,W
3516,Wofford,12-10,A,Georgia Southern,L
3517,Wofford,12-17,H,Montreat,W
3518,Wofford,12-20,A,Texas A&M,W
3519,Wofford,12-29,H,East Tennessee St.,L
3520,Wofford,12-31,H,UNC Greensboro,L
3521,Wofford,1-04,A,Mercer,W
3522,Wofford,1-07,H,The Citadel,W
3523,Wofford,1-11,A,Samford,L
3524,Wofford,1-14,H,VMI,W
3525,Wofford,1-18,A,Western Carolina,L
3526,Wofford,1-22,H,Furman,L
3527,Wofford,1-25,A,Chattanooga,W
3528,Wofford,1-28,H,Samford,W
3529,Wofford,2-01,A,East Tennessee St.,L
3530,Wofford,2-04,A,Furman,L
3531,Wofford,2-08,H,Western Carolina,L
3532,Wofford,2-12,A,UNC Greensboro,L
3533,Wofford,2-15,H,Mercer,W
3534,Wofford,2-18,A,The Citadel,W
3535,Wofford,2-22,A,VMI,L
3536,Wofford,2-25,H,Chattanooga,W
3537,Wofford,3-04,N,UNC Greensboro,W
3538,Wofford,3-05,N,Chattanooga,L
3539,Montana,11-08,A,Duquesne,L
3540,Montana,11-11,A,Xavier,L
3541,Montana,11-17,H,St. Thomas,W
3542,Montana,11-18,H,Merrimack,W
3543,Montana,11-19,H,Troy,L
3544,Montana,11-22,H,Mont. St.-Northern,W
3545,Montana,11-27,A,Air Force,L
3546,Montana,11-29,A,Southern Miss,L
3547,Montana,12-06,H,South Dakota St.,W
3548,Montana,12-10,A,North Dakota St.,W
3549,Montana,12-17,N,Prairie View A&M,W
3550,Montana,12-20,A,Gonzaga,L
3551,Montana,12-29,H,Eastern Washington,L
3552,Montana,12-31,H,Idaho,W
3553,Montana,1-05,A,Northern Arizona,L
3554,Montana,1-07,A,Northern Colorado,W
3555,Montana,1-12,H,Weber St.,L
3556,Montana,1-14,H,Idaho St.,W
3557,Montana,1-16,A,Eastern Washington,L
3558,Montana,1-21,H,Montana St.,L
3559,Montana,1-26,A,Sacramento St.,L
3560,Montana,1-28,A,Portland St.,W
3561,Montana,2-02,H,Northern Colorado,W
3562,Montana,2-04,H,Northern Arizona,W
3563,Montana,2-09,A,Idaho St.,W
3564,Montana,2-11,A,Weber St.,W
3565,Montana,2-18,A,Montana St.,L
3566,Montana,2-25,H,Sacramento St.,W
3567,Montana,2-27,A,Idaho,W
3568,Montana,3-06,N,Idaho St.,W
3569,Montana,3-07,N,Northern Arizona,L
3570,Samford,11-07,H,Anderson SC,W
3571,Samford,11-10,H,Spring Hill,W
3572,Samford,11-12,H,Belhaven,W
3573,Samford,11-17,A,Alabama A&M,W
3574,Samford,11-20,H,Texas Southern,W
3575,Samford,11-23,H,Valparaiso,W
3576,Samford,11-25,H,Louisiana Tech,L
3577,Samford,11-27,H,Tennessee Southern,L
3578,Samford,11-30,A,DePaul,L
3579,Samford,12-04,A,UCF,L
3580,Samford,12-10,A,Louisiana Lafayette,L
3581,Samford,12-17,A,South Carolina St.,L
3582,Samford,12-21,A,Belmont,L
3583,Samford,12-28,H,Mercer,W
3584,Samford,12-31,A,The Citadel,W
3585,Samford,1-04,H,VMI,W
3586,Samford,1-07,A,UNC Greensboro,W
3587,Samford,1-11,H,Wofford,W
3588,Samford,1-14,H,Chattanooga,W
3589,Samford,1-18,A,East Tennessee St.,W
3590,Samford,1-21,H,Western Carolina,W
3591,Samford,1-25,A,Furman,L
3592,Samford,1-28,A,Wofford,L
3593,Samford,2-01,A,Western Carolina,W
3594,Samford,2-04,H,East Tennessee St.,W
3595,Samford,2-08,A,Mercer,W
3596,Samford,2-11,H,The Citadel,W
3597,Samford,2-15,H,UNC Greensboro,W
3598,Samford,2-18,A,VMI,W
3599,Samford,2-22,A,Chattanooga,W
3600,Samford,2-25,H,Furman,L
3601,Samford,3-04,N,Chattanooga,L
3602,Towson,11-07,H,Albany,W
3603,Towson,11-10,A,Massachusetts,W
3604,Towson,11-13,A,Penn,W
3605,Towson,11-17,A,UNC Greensboro,W
3606,Towson,11-22,H,Coppin St.,W
3607,Towson,11-25,N,Fairfield,L
3608,Towson,11-26,N,South Alabama,W
3609,Towson,11-27,N,Mercer,W
3610,Towson,12-02,A,LIU Brooklyn,W
3611,Towson,12-07,A,Clemson,L
3612,Towson,12-11,H,Navy,L
3613,Towson,12-17,N,Northern Iowa,L
3614,Towson,12-22,A,Bryant,L
3615,Towson,12-31,H,College of Charleston,L
3616,Towson,1-05,H,Drexel,W
3617,Towson,1-07,A,Stony Brook,W
3618,Towson,1-11,A,Delaware,L
3619,Towson,1-14,H,Monmouth,W
3620,Towson,1-16,H,Hofstra,W
3621,Towson,1-19,A,North Carolina A&T,W
3622,Towson,1-21,A,Elon,W
3623,Towson,1-26,H,Northeastern,W
3624,Towson,1-28,H,William & Mary,W
3625,Towson,2-02,A,Hofstra,L
3626,Towson,2-08,H,Hampton,W
3627,Towson,2-11,A,Drexel,L
3628,Towson,2-13,A,William & Mary,L
