,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
193,Nebraska,14,8,6,.571,9.08,5.79,,1,2,,6,1,,1,3,,953,907,,565,359,813,.442,92,305,.302,143,218,.656,157,542,193,84,36,186,183
194,Nevada,15,12,3,.800,9.60,4.03,,2,0,,7,0,,3,2,,1098,976,,605,349,805,.434,118,337,.350,282,356,.792,114,526,210,83,53,158,281
195,Nevada-Las Vegas,14,11,3,.786,10.76,2.92,,0,2,,6,2,,1,1,,1077,903,,565,379,856,.443,116,338,.343,203,288,.705,164,508,202,149,52,178,218
196,New Hampshire,13,6,7,.462,-9.23,-6.04,,1,0,,4,2,,2,5,,872,832,,525,309,782,.395,116,322,.360,138,189,.730,148,500,161,72,31,136,196
197,New Mexico,14,14,0,1.000,14.58,0.58,,2,0,,10,0,,3,0,,1178,957,,560,410,838,.489,86,237,.363,272,371,.733,145,558,227,104,67,161,240
198,New Mexico State,14,7,7,.500,4.97,5.06,,0,2,,4,2,,1,3,,1081,949,,560,389,852,.457,117,330,.355,186,269,.691,149,526,189,108,37,172,246
199,New Orleans,12,3,9,.250,-18.13,-0.43,,0,1,,3,3,,0,6,,824,991,,485,294,677,.434,76,194,.392,160,230,.696,107,356,175,80,20,221,228
200,Niagara,13,8,5,.615,-6.30,-3.39,,3,1,,5,0,,1,5,,840,837,,520,307,694,.442,87,241,.361,139,194,.716,109,419,156,61,35,154,204
201,Nicholls State,13,6,7,.462,-4.10,8.68,,1,0,,5,0,,0,6,,1012,953,,520,380,837,.454,101,303,.333,151,233,.648,145,458,199,138,35,197,300
202,NJIT,14,3,11,.214,-12.02,-4.48,,0,1,,2,4,,1,7,,895,965,,560,315,767,.411,92,280,.329,173,266,.650,125,473,175,86,44,168,225
203,Norfolk State,14,9,5,.643,-5.04,0.97,,0,0,,4,0,,2,5,,1042,980,,560,386,823,.469,101,309,.327,169,238,.710,151,488,195,93,51,168,242
204,North Alabama,15,9,6,.600,-9.44,-4.10,,1,1,,4,1,,4,5,,1127,1056,,600,412,882,.467,113,296,.382,190,281,.676,141,544,191,92,49,184,259
205,North Carolina,14,9,5,.643,15.25,8.97,,1,2,,6,0,,0,3,,1133,1045,,585,387,846,.457,90,292,.308,269,364,.739,149,563,183,83,58,163,233
206,North Carolina A&T,15,6,9,.400,-8.48,3.19,,1,1,,4,0,,1,6,,1076,1098,,605,385,897,.429,137,392,.349,169,241,.701,131,508,182,113,45,185,266
207,North Carolina Central,13,6,7,.462,-0.46,2.94,,0,0,,6,0,,0,7,,1021,893,,525,380,776,.490,107,257,.416,154,220,.700,122,438,208,109,28,177,248
208,North Dakota,15,6,9,.400,-10.20,-1.04,,0,2,,4,4,,2,5,,1036,1073,,605,379,843,.450,120,339,.354,158,242,.653,148,515,189,71,42,207,244
209,North Dakota State,15,4,11,.267,-8.29,1.71,,1,2,,2,2,,2,7,,1060,1124,,600,378,874,.432,120,377,.318,184,271,.679,132,538,163,60,39,189,246
210,North Florida,14,6,8,.429,-8.39,0.61,,1,1,,5,0,,1,8,,1048,1076,,565,369,840,.439,130,399,.326,180,261,.690,132,509,194,75,50,192,213
211,North Texas,14,11,3,.786,9.70,1.45,,2,1,,5,1,,2,1,,864,729,,560,295,744,.397,99,316,.313,175,246,.711,181,508,145,92,36,152,238
212,Northeastern,13,5,8,.385,-7.49,-3.18,,1,1,,3,2,,1,5,,851,907,,525,316,767,.412,96,299,.321,123,197,.624,150,481,169,75,55,187,218
213,Northern Arizona,15,4,11,.267,-8.02,2.98,,0,2,,3,2,,1,8,,1082,1138,,610,395,939,.421,126,371,.340,166,239,.695,168,534,236,91,27,185,296
214,Northern Colorado,14,5,9,.357,-6.02,2.83,,0,2,,1,3,,2,6,,1011,1127,,570,337,787,.428,125,350,.357,212,273,.777,106,451,162,59,20,181,249
