,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,Abilene Christian,15,9,6,.600,-5.04,-2.32,,1,1,,7,0,,2,3,,1155,973,,600,424,891,.476,120,324,.370,187,276,.678,164,512,247,142,46,219,291
1,Air Force,15,9,6,.600,1.52,-4.48,,0,2,,8,3,,1,3,,1035,945,,605,355,751,.473,128,350,.366,197,280,.704,101,460,238,102,70,189,255
2,Akron,13,8,5,.615,2.33,0.97,,0,0,,7,0,,0,2,,902,814,,525,312,749,.417,115,336,.342,163,243,.671,144,490,173,91,31,155,184
3,Alabama,13,11,2,.846,19.83,8.29,,1,0,,6,0,,3,0,,1082,932,,540,358,814,.440,131,382,.343,235,330,.712,186,612,202,75,74,222,253
4,Alabama A&M,14,5,9,.357,-9.49,0.15,,1,0,,5,4,,0,4,,1000,1057,,566,372,846,.440,111,271,.410,145,216,.671,141,455,200,127,52,212,263
5,Alabama State,14,3,11,.214,-16.69,0.77,,1,0,,2,0,,0,11,,892,1107,,560,316,886,.357,87,263,.331,173,245,.706,184,524,147,75,40,180,262
6,Albany (NY),16,5,11,.313,-14.37,-2.16,,0,1,,2,2,,2,8,,1049,1181,,640,365,907,.402,120,373,.322,199,294,.677,177,540,187,98,35,222,318
7,Alcorn State,13,3,10,.231,-10.22,3.55,,0,1,,0,1,,2,8,,787,966,,531,282,770,.366,58,227,.256,165,243,.679,178,452,114,103,28,185,283
8,American,13,10,3,.769,-1.63,-7.70,,2,0,,4,1,,6,2,,881,802,,520,323,646,.500,97,255,.380,138,191,.723,100,406,186,102,44,186,192
9,Appalachian State,15,7,8,.467,-3.76,0.16,,0,2,,5,3,,2,4,,1129,980,,605,410,891,.460,124,362,.343,185,262,.706,127,543,208,112,67,179,221
10,Arizona,14,13,1,.929,22.31,6.39,,2,1,,8,0,,1,1,,1242,1019,,560,434,831,.522,111,307,.362,263,354,.743,144,586,286,84,55,201,245
11,Arizona State,14,11,3,.786,11.38,4.02,,2,1,,6,1,,2,2,,1005,902,,565,350,838,.418,101,331,.305,204,300,.680,166,562,205,99,73,172,269
12,Arkansas,13,11,2,.846,19.27,3.35,,0,1,,8,0,,0,1,,1010,803,,525,370,763,.485,63,210,.300,207,289,.716,121,463,181,136,63,163,223
13,Arkansas State,15,9,6,.600,-9.80,-7.38,,1,1,,8,2,,1,4,,1028,977,,600,383,828,.463,89,262,.340,173,265,.653,158,521,227,115,55,186,249
14,Arkansas-Pine Bluff,14,4,10,.286,-12.54,7.16,,0,1,,4,0,,0,10,,892,971,,560,326,858,.380,104,351,.296,136,195,.697,155,502,187,117,44,222,259
15,Army,15,8,7,.533,-9.13,-8.29,,2,0,,5,1,,3,3,,1142,1077,,605,413,855,.483,133,366,.363,183,260,.704,132,541,215,68,35,197,245
16,Auburn,13,11,2,.846,15.56,4.63,,1,0,,8,0,,1,1,,945,803,,520,334,756,.442,79,266,.297,198,295,.671,171,508,186,113,88,184,247
17,Austin Peay,15,6,9,.400,-9.22,-0.06,,0,2,,4,2,,1,6,,1053,1069,,605,372,886,.420,112,324,.346,197,261,.755,172,505,208,97,42,182,256
18,Ball State,13,9,4,.692,1.75,-3.16,,0,0,,5,0,,2,2,,994,856,,520,338,695,.486,91,239,.381,227,336,.676,138,461,176,86,61,164,208
19,Baylor,13,10,3,.769,16.64,3.64,,0,1,,7,0,,0,2,,1031,862,,520,354,762,.465,124,350,.354,199,277,.718,160,475,216,112,43,185,234
20,Bellarmine,15,6,9,.400,-7.25,2.09,,1,1,,4,2,,2,7,,1006,965,,600,358,776,.461,137,353,.388,153,206,.743,101,440,222,87,22,172,241
21,Belmont,15,9,6,.600,-0.37,-1.02,,2,2,,5,1,,2,4,,1111,1072,,610,396,866,.457,150,375,.400,169,243,.695,118,458,224,114,47,181,248
22,Bethune-Cookman,14,5,9,.357,-19.28,-3.78,,1,0,,3,1,,1,7,,930,1065,,565,346,831,.416,76,219,.347,162,228,.711,146,462,163,115,42,184,230
23,Binghamton,14,4,10,.286,-14.89,-5.39,,0,1,,3,4,,1,6,,981,1036,,560,362,815,.444,76,265,.287,181,259,.699,153,496,153,70,48,195,260
24,Boise State,14,10,4,.714,11.31,1.93,,0,1,,5,1,,1,2,,990,832,,560,345,789,.437,106,303,.350,194,268,.724,133,536,157,76,45,161,223
25,Boston College,14,7,7,.500,-1.59,1.84,,1,2,,5,2,,0,3,,901,949,,570,335,811,.413,65,241,.270,166,246,.675,147,487,138,102,56,177,222
26,Boston University,15,8,7,.533,-6.52,-5.16,,1,1,,4,1,,4,4,,1028,1002,,605,366,899,.407,124,371,.334,172,241,.714,156,546,179,107,35,163,259
27,Bowling Green State,13,6,7,.462,-8.33,-4.97,,0,0,,4,3,,2,4,,986,967,,520,350,809,.433,96,303,.317,190,251,.757,146,495,191,78,40,147,205
28,Bradley,15,10,5,.667,10.09,1.24,,3,1,,8,0,,2,3,,1039,881,,600,382,837,.456,123,343,.359,152,228,.667,147,550,198,121,64,203,238
29,Brigham Young,17,12,5,.706,8.39,3.73,,2,0,,8,1,,1,1,,1289,1156,,685,451,1024,.440,154,462,.333,233,335,.696,209,695,269,125,78,271,333
30,Brown,14,7,7,.500,-4.76,-4.61,,0,1,,3,3,,4,4,,897,899,,561,328,775,.423,106,323,.328,135,236,.572,131,491,196,103,41,196,220
31,Bryant,14,10,4,.714,-2.31,-2.89,,1,0,,5,1,,4,2,,1197,1028,,565,417,898,.464,130,366,.355,233,312,.747,160,575,227,113,55,188,243
32,Bucknell,15,7,8,.467,-6.87,-6.37,,0,2,,4,2,,1,6,,1053,999,,605,389,823,.473,115,312,.369,160,225,.711,127,538,222,74,53,198,227
33,Buffalo,13,6,7,.462,-2.38,5.35,,0,0,,5,1,,0,3,,1025,1005,,520,375,804,.466,89,279,.319,186,261,.713,127,471,190,116,46,196,246
