School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
Canisius,22,5,17,0.227,-9.01,-2.2,3.0,10.0,3,6,2,11,1535,1632,900,552,1358,0.406,195,573,0.34,234,324,0.722,254,759,309,118,60,268,362,0.422,56.0,6.7,0.172,0.239,30.5,100.4,67.9,7.7,15.1,48.5,0.508,0.478
Central Arkansas,25,8,17,0.32,-12.87,-2.5,3.0,9.0,5,5,2,11,1852,2050,1015,667,1605,0.416,222,667,0.333,296,399,0.742,279,907,310,157,80,332,417,0.416,46.5,8.2,0.184,0.249,28.4,100.3,72.8,8.5,15.6,48.2,0.516,0.485
Central Connecticut State,26,7,19,0.269,-12.65,-8.38,4.0,7.0,4,6,3,12,1692,1803,1040,646,1515,0.426,179,547,0.327,221,320,0.691,253,864,338,159,98,307,368,0.361,52.3,10.8,0.146,0.211,27.9,98.8,65.9,9.3,15.6,49.3,0.507,0.485
Central Florida,23,14,9,0.609,10.93,5.63,5.0,6.0,9,4,3,4,1647,1525,955,570,1337,0.426,200,550,0.364,307,402,0.764,282,839,315,160,88,327,386,0.411,55.3,11.4,0.23,0.301,35.4,105.0,65.7,10.2,17.6,52.4,0.539,0.501
Central Michigan,24,8,16,0.333,-9.98,-1.75,3.0,8.0,6,5,1,10,1591,1726,965,558,1341,0.416,151,516,0.293,324,472,0.686,274,862,264,143,93,380,484,0.385,47.3,11.8,0.242,0.352,31.6,95.0,69.4,8.5,19.5,49.5,0.508,0.472
Charleston Southern,24,8,16,0.333,-8.38,-3.75,4.0,9.0,5,6,3,10,1777,1789,965,637,1424,0.447,206,578,0.356,297,400,0.743,282,849,292,124,61,289,431,0.406,45.8,7.5,0.209,0.281,33.5,109.7,67.1,7.7,15.2,51.5,0.55,0.52
Charlotte,23,13,10,0.565,4.29,-0.8,4.0,8.0,8,3,3,6,1534,1417,930,568,1203,0.472,176,480,0.367,222,295,0.753,160,698,306,136,58,254,324,0.399,53.9,8.0,0.185,0.245,24.3,106.3,62.1,9.4,15.9,51.5,0.571,0.545
Chattanooga,26,13,13,0.5,-2.38,-2.51,5.0,8.0,8,5,5,8,2001,1851,1045,679,1519,0.447,297,787,0.377,346,480,0.721,270,955,396,154,102,313,394,0.518,58.3,11.0,0.228,0.316,30.0,111.7,68.5,8.6,15.2,52.2,0.573,0.545
Chicago State,26,8,18,0.308,-10.07,-3.53,,,5,0,3,18,1774,1876,1045,608,1441,0.422,205,616,0.333,353,487,0.725,296,900,300,144,74,362,490,0.427,49.3,7.8,0.245,0.338,32.9,102.0,66.6,8.3,17.8,50.2,0.53,0.493
Cincinnati,25,16,9,0.64,11.55,4.46,7.0,5.0,12,3,3,4,1930,1717,1005,714,1603,0.445,231,647,0.357,271,392,0.691,281,935,397,161,105,268,393,0.404,55.6,10.4,0.169,0.245,30.7,109.0,70.4,9.1,13.0,51.9,0.539,0.517
Clemson,24,18,6,0.75,9.58,2.87,10.0,3.0,12,1,4,3,1771,1610,970,617,1337,0.461,191,525,0.364,346,431,0.803,171,838,343,129,77,279,424,0.393,55.6,9.4,0.259,0.322,22.6,106.9,68.3,7.8,15.3,51.0,0.574,0.533
Cleveland State,25,14,11,0.56,-2.42,-4.85,9.0,5.0,8,3,6,8,1773,1691,1015,670,1466,0.457,133,427,0.311,300,437,0.686,294,856,331,179,76,285,429,0.291,49.4,9.0,0.205,0.298,34.0,106.4,65.7,10.7,14.6,49.5,0.53,0.502
Coastal Carolina,24,10,14,0.417,-8.33,-1.85,4.0,8.0,7,5,3,9,1770,1726,970,644,1473,0.437,174,547,0.318,308,407,0.757,287,914,306,147,82,292,388,0.371,47.5,10.1,0.209,0.276,33.2,106.2,68.7,8.8,14.9,51.8,0.531,0.496
Colgate,26,18,8,0.692,1.96,-5.32,12.0,1.0,9,2,8,4,2008,1793,1040,761,1503,0.506,211,535,0.394,275,408,0.674,210,871,461,185,69,275,334,0.356,60.6,7.2,0.183,0.271,25.8,113.4,68.1,10.4,13.9,51.6,0.592,0.577
College of Charleston,26,23,3,0.885,8.11,-2.97,11.0,2.0,14,1,9,2,2088,1782,1050,719,1651,0.435,260,787,0.33,390,528,0.739,366,1051,352,190,87,324,438,0.477,49.0,8.3,0.236,0.32,36.3,112.4,70.8,10.2,14.6,54.5,0.549,0.514
Colorado,25,14,11,0.56,11.98,6.38,6.0,8.0,11,2,1,7,1781,1641,1000,650,1471,0.442,159,495,0.321,322,473,0.681,292,946,324,205,94,350,412,0.337,49.8,10.2,0.219,0.322,32.7,101.3,70.3,11.7,17.1,53.5,0.525,0.496
Colorado State,25,11,14,0.44,5.6,5.27,3.0,9.0,7,6,3,6,1845,1794,1015,675,1375,0.491,194,542,0.358,301,409,0.736,140,763,434,153,62,271,407,0.394,64.3,8.0,0.219,0.297,18.5,108.6,67.0,9.0,14.7,47.7,0.588,0.561
Columbia,24,6,18,0.25,-14.1,-2.47,1.0,8.0,5,7,1,11,1616,1779,970,571,1437,0.397,183,579,0.316,291,414,0.703,263,848,277,164,46,330,391,0.403,48.5,5.0,0.203,0.288,28.5,95.0,70.1,9.6,16.8,47.3,0.495,0.461
