School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
NC State,25,19,6,0.76,13.12,4.0,9.0,5.0,13,1,3,4,1960,1732,1005,712,1594,0.447,209,598,0.349,327,453,0.722,291,937,335,204,123,246,438,0.375,47.1,12.9,0.205,0.284,31.1,111.0,70.3,11.6,12.0,51.9,0.542,0.512
Nebraska,25,11,14,0.44,6.01,9.37,4.0,10.0,8,3,2,9,1649,1733,1010,625,1398,0.447,160,508,0.315,239,382,0.626,219,864,333,137,57,320,343,0.363,53.3,6.8,0.171,0.273,25.9,97.5,67.0,8.1,16.8,49.6,0.522,0.504
Nevada,25,19,6,0.76,12.57,6.99,9.0,3.0,12,0,5,5,1840,1662,1015,611,1365,0.448,185,536,0.345,433,545,0.794,193,847,353,154,78,264,463,0.393,57.8,9.5,0.317,0.399,23.8,108.4,66.9,9.1,14.0,50.4,0.567,0.515
Nevada-Las Vegas,24,16,8,0.667,8.97,4.1,5.0,7.0,8,5,4,3,1827,1643,970,630,1416,0.445,197,552,0.357,370,521,0.71,247,821,323,228,91,290,400,0.39,51.3,12.6,0.261,0.368,28.5,106.8,70.5,13.3,14.8,48.5,0.549,0.514
New Hampshire,23,11,12,0.478,-8.03,-5.84,6.0,5.0,7,4,4,8,1547,1518,930,545,1365,0.399,195,558,0.349,262,382,0.686,248,859,280,120,55,231,348,0.409,51.4,6.3,0.192,0.28,28.0,100.7,66.1,7.8,13.0,50.1,0.5,0.471
New Mexico,24,19,5,0.792,13.34,4.56,6.0,5.0,14,2,4,3,1962,1721,975,701,1432,0.49,135,390,0.346,425,578,0.735,239,924,340,169,98,289,399,0.272,48.5,11.0,0.297,0.404,29.2,111.5,72.2,9.6,14.5,53.5,0.575,0.537
New Mexico State,24,9,15,0.375,-0.91,3.09,2.0,10.0,6,4,1,9,1769,1720,960,631,1426,0.442,181,534,0.339,326,479,0.681,246,852,291,176,55,305,453,0.374,46.1,7.3,0.229,0.336,29.0,102.9,71.6,10.2,15.6,51.4,0.535,0.506
New Orleans,22,6,16,0.273,-15.7,-5.0,3.0,8.0,5,8,1,8,1564,1768,886,559,1222,0.457,145,372,0.39,301,441,0.683,200,688,328,141,46,389,420,0.304,58.7,5.7,0.246,0.361,27.4,97.1,72.7,8.8,21.4,47.4,0.546,0.517
Niagara,22,13,9,0.591,-5.86,-4.43,8.0,5.0,7,2,4,7,1425,1417,885,517,1150,0.45,146,406,0.36,245,342,0.716,170,667,246,114,59,253,350,0.353,47.6,7.1,0.213,0.297,25.9,101.8,63.3,8.1,16.2,49.5,0.543,0.513
Nicholls State,22,11,11,0.5,-7.79,-1.63,7.0,4.0,7,0,4,10,1658,1604,880,626,1373,0.456,171,497,0.344,235,376,0.625,252,762,312,196,65,294,467,0.362,49.8,8.9,0.171,0.274,30.8,103.6,72.7,12.3,15.9,48.9,0.534,0.518
NJIT,23,6,17,0.261,-11.87,-4.92,3.0,7.0,4,6,2,11,1535,1660,935,562,1322,0.425,152,448,0.339,259,400,0.648,208,798,282,126,70,266,368,0.339,50.2,8.3,0.196,0.303,24.9,98.0,67.0,8.0,15.0,48.0,0.508,0.483
Norfolk State,23,16,7,0.696,-3.3,-3.98,5.0,2.0,8,1,4,6,1755,1589,922,627,1308,0.479,171,488,0.35,330,443,0.745,246,814,324,152,82,287,402,0.373,51.7,12.5,0.252,0.339,33.7,112.0,68.0,9.7,15.9,53.0,0.578,0.545
North Alabama,25,14,11,0.56,-9.32,-4.19,6.0,6.0,7,2,6,9,1881,1859,1010,690,1470,0.469,188,499,0.377,313,458,0.683,221,862,301,150,79,282,422,0.339,43.6,8.6,0.213,0.312,26.0,107.5,69.3,8.6,14.3,50.1,0.557,0.533
North Carolina,24,15,9,0.625,13.45,7.75,7.0,6.0,10,1,2,6,1870,1733,985,645,1462,0.441,158,518,0.305,422,572,0.738,266,955,296,140,93,264,409,0.354,45.9,9.3,0.289,0.391,30.1,108.0,70.3,8.1,13.2,53.5,0.539,0.495
North Carolina A&T,26,12,14,0.462,-8.84,-1.71,7.0,6.0,7,4,4,7,1854,1900,1045,662,1543,0.429,216,646,0.334,314,462,0.68,222,899,310,195,71,317,443,0.419,46.8,7.1,0.203,0.299,23.7,100.3,70.8,10.5,15.2,47.5,0.526,0.499
North Carolina Central,21,10,11,0.476,-4.04,-2.75,3.0,4.0,9,1,1,10,1597,1411,850,581,1219,0.477,155,428,0.362,280,397,0.705,222,732,309,167,60,313,392,0.351,53.2,8.5,0.23,0.326,32.2,107.3,70.1,11.2,18.2,52.3,0.567,0.54
North Dakota,25,8,17,0.32,-9.35,-2.09,2.0,10.0,5,7,3,10,1752,1837,1005,634,1462,0.434,229,655,0.35,255,378,0.675,230,825,295,113,67,296,397,0.448,46.5,6.9,0.174,0.259,25.9,102.8,67.9,6.6,15.3,48.4,0.534,0.512
North Dakota State,24,9,15,0.375,-5.67,-1.04,6.0,6.0,5,4,4,9,1746,1782,960,633,1388,0.456,190,563,0.337,290,427,0.679,206,849,273,98,70,280,370,0.406,43.1,7.3,0.209,0.308,25.3,105.0,69.3,5.9,15.0,51.3,0.549,0.524
North Florida,24,10,14,0.417,-8.67,-1.63,5.0,7.0,8,1,2,13,1790,1865,970,627,1415,0.443,234,689,0.34,302,426,0.709,219,826,313,118,97,299,345,0.487,49.9,8.6,0.213,0.301,25.8,105.8,69.8,7.0,15.6,47.2,0.553,0.526
North Texas,24,19,5,0.792,7.51,1.33,10.0,3.0,8,2,7,2,1495,1323,960,519,1239,0.419,177,514,0.344,280,394,0.711,275,806,264,157,66,280,399,0.415,50.9,9.0,0.226,0.318,35.2,104.4,59.7,11.0,16.4,53.4,0.524,0.49
Northeastern,23,8,15,0.348,-8.45,-3.76,4.0,8.0,4,6,3,8,1517,1625,925,551,1306,0.422,174,504,0.345,241,360,0.669,245,838,300,116,95,332,379,0.386,54.4,9.9,0.185,0.276,31.1,97.1,67.6,7.4,18.4,52.6,0.514,0.489
Northern Arizona,24,6,18,0.25,-6.26,0.95,2.0,10.0,5,6,1,12,1717,1791,975,612,1451,0.422,194,552,0.351,299,408,0.733,249,841,342,131,40,273,451,0.38,55.9,4.9,0.206,0.281,27.9,102.8,68.5,7.8,14.2,50.1,0.522,0.489
Northern Colorado,23,7,16,0.304,-5.42,0.67,3.0,9.0,3,6,3,10,1624,1799,930,563,1317,0.427,195,553,0.353,303,408,0.743,191,743,269,117,34,288,420,0.42,47.8,3.7,0.23,0.31,24.0,101.5,68.8,7.3,16.0,47.7,0.537,0.502
Northern Illinois,24,10,14,0.417,-7.16,-1.75,6.0,5.0,3,5,6,8,1712,1811,960,614,1352,0.454,177,516,0.343,307,456,0.673,211,785,281,160,65,346,463,0.382,45.8,7.3,0.227,0.337,25.5,100.5,71.0,9.4,18.1,46.5,0.546,0.52
Northern Iowa,25,12,13,0.48,-1.43,-1.31,8.0,7.0,8,5,3,6,1760,1707,1010,637,1396,0.456,186,543,0.343,300,436,0.688,196,840,286,163,33,312,376,0.389,44.9,4.5,0.215,0.312,23.7,102.5,68.0,9.5,16.3,50.7,0.549,0.523
Northern Kentucky,25,15,10,0.6,-2.21,-2.78,10.0,4.0,12,3,3,4,1679,1586,1025,611,1438,0.425,188,571,0.329,269,399,0.674,285,818,342,244,60,296,383,0.397,56.0,7.7,0.187,0.277,32.0,102.4,64.0,14.9,15.4,48.9,0.516,0.49
Northwestern,23,16,7,0.696,12.57,6.26,7.0,5.0,10,4,5,2,1572,1427,920,543,1334,0.407,172,544,0.316,314,421,0.746,244,824,308,183,105,236,368,0.408,56.7,14.9,0.235,0.316,29.4,103.1,66.3,12.0,13.3,50.7,0.512,0.472
Northwestern State,24,16,8,0.667,-2.91,-4.82,8.0,3.0,7,2,8,6,1785,1730,970,648,1505,0.431,226,605,0.374,263,377,0.698,306,821,316,202,51,289,452,0.402,48.8,5.9,0.175,0.25,33.2,107.2,68.7,12.1,14.6,47.9,0.53,0.506
Notre Dame,24,10,14,0.417,1.35,2.89,2.0,11.0,10,6,0,6,1688,1725,965,615,1375,0.447,216,590,0.366,242,319,0.759,163,745,294,113,65,212,322,0.429,47.8,7.1,0.176,0.232,20.3,107.1,65.3,7.2,12.2,47.1,0.553,0.526
Oakland,25,10,15,0.4,-6.97,-1.06,8.0,6.0,6,4,4,8,1834,1911,1020,646,1481,0.436,191,597,0.32,351,460,0.763,212,778,305,186,70,278,350,0.403,47.2,7.4,0.237,0.311,24.5,103.9,69.3,10.5,14.1,45.4,0.54,0.501
Ohio,24,13,11,0.542,-0.43,-2.09,5.0,6.0,10,1,3,9,1874,1767,965,687,1489,0.461,206,567,0.363,294,408,0.721,287,913,314,147,54,278,429,0.381,45.7,6.3,0.197,0.274,33.1,111.8,69.5,8.8,14.2,52.3,0.557,0.531
Ohio State,23,11,12,0.478,14.91,7.35,3.0,9.0,8,3,1,7,1738,1564,930,647,1402,0.461,159,423,0.376,285,392,0.727,272,888,275,120,87,250,373,0.302,42.5,10.0,0.203,0.28,33.5,110.6,67.6,7.6,13.6,53.4,0.547,0.518
Oklahoma,24,12,12,0.5,11.55,10.51,2.0,9.0,7,5,1,6,1632,1607,965,604,1278,0.473,161,456,0.353,263,364,0.723,166,778,320,129,76,314,385,0.357,53.0,8.1,0.206,0.285,23.2,102.4,66.1,8.1,17.8,50.0,0.562,0.536
Oklahoma State,24,15,9,0.625,14.97,9.22,6.0,5.0,11,2,2,5,1666,1528,965,598,1359,0.44,166,515,0.322,304,431,0.705,258,888,315,147,127,341,411,0.379,52.7,14.8,0.224,0.317,31.7,100.9,68.4,8.9,17.9,52.5,0.533,0.501
Old Dominion,24,14,10,0.583,0.13,-0.74,6.0,6.0,10,4,3,4,1623,1589,965,579,1360,0.426,127,397,0.32,338,500,0.676,289,911,251,154,96,267,397,0.292,43.4,12.6,0.249,0.368,33.1,102.8,65.4,9.8,14.3,52.1,0.508,0.472
Omaha,25,7,18,0.28,-9.27,0.27,3.0,10.0,4,6,1,12,1722,1919,1000,635,1396,0.455,138,404,0.342,314,408,0.77,205,797,310,142,78,330,449,0.289,48.8,9.0,0.225,0.292,25.2,100.7,68.4,8.3,17.2,48.0,0.542,0.504
Oral Roberts,25,21,4,0.84,11.78,-1.46,12.0,0.0,14,0,7,4,2131,1749,1000,778,1609,0.484,281,738,0.381,294,388,0.758,228,940,381,170,143,252,337,0.459,49.0,14.8,0.183,0.241,25.9,117.5,72.6,9.4,12.3,50.7,0.594,0.571
Oregon,24,14,10,0.583,13.25,9.67,8.0,5.0,10,4,3,4,1698,1612,960,607,1351,0.449,171,548,0.312,313,451,0.694,262,885,318,146,125,311,361,0.406,52.4,14.5,0.232,0.334,32.3,105.2,67.3,9.0,16.6,53.2,0.542,0.513
Oregon State,24,9,15,0.375,0.19,5.84,3.0,10.0,8,4,1,8,1489,1602,960,516,1223,0.422,153,456,0.336,304,416,0.731,175,740,259,133,81,329,427,0.373,50.2,10.0,0.249,0.34,23.6,94.6,65.6,8.4,18.8,47.7,0.524,0.484
Pacific,25,12,13,0.48,-0.65,0.96,5.0,5.0,5,9,7,4,1894,1913,1010,658,1476,0.446,221,572,0.386,357,499,0.715,217,808,307,143,67,300,474,0.388,46.7,7.4,0.242,0.338,24.6,105.6,71.0,8.0,14.9,46.4,0.553,0.521
Penn State,24,14,10,0.583,11.57,6.9,5.0,8.0,11,3,1,6,1742,1630,975,646,1400,0.461,259,674,0.384,191,253,0.755,138,781,352,119,53,209,376,0.481,54.5,6.2,0.136,0.181,17.6,109.8,65.1,7.5,12.1,47.8,0.573,0.554
Pennsylvania,24,13,11,0.542,0.05,-1.3,5.0,4.0,8,4,5,7,1785,1722,975,642,1395,0.46,201,562,0.358,300,409,0.733,245,899,372,127,75,304,434,0.403,57.9,9.3,0.215,0.293,30.2,108.4,67.5,7.7,16.1,52.2,0.562,0.532
Pepperdine,25,8,17,0.32,-0.27,4.29,1.0,10.0,7,6,0,10,1937,2005,1020,720,1570,0.459,202,566,0.357,295,418,0.706,236,916,374,143,104,355,439,0.361,51.9,9.7,0.188,0.266,26.1,102.5,74.1,7.6,16.7,49.2,0.548,0.523
Pittsburgh,24,17,7,0.708,10.81,3.77,10.0,3.0,11,3,6,2,1790,1621,960,624,1385,0.451,225,624,0.361,317,417,0.76,244,893,344,126,109,290,382,0.451,55.1,12.6,0.229,0.301,30.0,109.1,68.3,7.7,15.5,52.0,0.565,0.532
Portland,26,12,14,0.462,1.64,3.64,4.0,7.0,9,5,2,8,2008,2008,1050,661,1445,0.457,239,643,0.372,447,613,0.729,215,860,403,133,60,347,461,0.445,61.0,6.4,0.309,0.424,25.0,107.1,71.4,7.1,16.7,48.3,0.578,0.54
Portland State,24,10,14,0.417,-4.44,0.43,4.0,7.0,5,5,4,7,1828,1779,960,640,1447,0.442,185,545,0.339,363,493,0.736,241,772,335,185,71,296,537,0.377,52.3,9.0,0.251,0.341,27.8,105.8,72.0,10.7,15.0,47.7,0.544,0.506
Prairie View,23,8,15,0.348,-8.1,-5.1,5.0,7.0,6,4,3,11,1545,1600,940,554,1388,0.399,116,431,0.269,321,465,0.69,283,824,230,184,79,325,453,0.311,41.5,10.1,0.231,0.335,33.1,93.6,70.2,11.2,16.8,51.6,0.48,0.441
Presbyterian,26,5,21,0.192,-12.89,-4.55,1.0,12.0,5,6,0,13,1644,1790,1054,584,1401,0.417,151,508,0.297,325,515,0.631,283,864,280,149,80,336,491,0.363,47.9,9.1,0.232,0.368,31.7,97.0,64.3,8.8,17.0,50.3,0.5,0.471
Princeton,22,16,6,0.727,3.45,-3.76,7.0,2.0,8,2,6,3,1681,1485,885,608,1284,0.474,185,533,0.347,280,400,0.7,218,867,307,113,76,289,344,0.415,50.5,8.6,0.218,0.312,29.8,108.9,69.7,7.3,16.4,55.7,0.57,0.546
Providence,24,18,6,0.75,13.89,4.1,10.0,3.0,13,0,5,4,1882,1647,975,665,1420,0.468,152,439,0.346,400,540,0.741,296,951,358,165,115,301,363,0.309,53.8,11.7,0.282,0.38,36.8,112.4,68.7,9.9,15.2,56.2,0.561,0.522
Purdue,24,22,2,0.917,19.7,6.74,11.0,2.0,11,1,7,1,1777,1466,965,621,1341,0.463,175,516,0.339,360,480,0.75,296,944,371,114,95,263,321,0.385,59.7,10.6,0.268,0.358,38.7,114.9,64.1,7.4,14.4,58.7,0.566,0.528
Purdue-Fort Wayne,25,15,10,0.6,-3.94,-4.37,7.0,7.0,8,3,6,6,1861,1706,1006,655,1497,0.438,247,704,0.351,304,434,0.7,267,921,330,179,63,333,361,0.47,50.4,6.9,0.203,0.29,29.4,105.3,70.3,10.1,16.4,51.8,0.546,0.52
Queens (NC),25,16,9,0.64,-4.17,-5.72,6.0,6.0,8,2,6,7,1991,1859,1000,686,1509,0.455,242,679,0.356,377,527,0.715,295,968,366,160,61,319,388,0.45,53.4,6.1,0.25,0.349,32.8,112.1,71.0,9.0,15.3,53.6,0.566,0.535
Quinnipiac,24,17,7,0.708,1.05,-4.3,8.0,5.0,8,3,7,3,1742,1601,960,615,1416,0.434,192,544,0.353,320,489,0.654,285,926,318,153,62,307,381,0.384,51.7,6.8,0.226,0.345,33.7,104.4,69.6,9.2,15.7,53.7,0.528,0.502
Radford,25,16,9,0.64,-1.0,-4.08,10.0,2.0,9,1,6,8,1766,1599,1000,651,1391,0.468,167,459,0.364,297,439,0.677,245,830,306,183,79,304,418,0.33,47.0,9.7,0.214,0.316,30.2,106.8,66.1,11.1,16.0,51.3,0.552,0.528
Rhode Island,23,8,15,0.348,-1.81,1.24,4.0,7.0,7,5,0,8,1540,1610,930,528,1314,0.402,123,405,0.304,361,492,0.734,278,877,270,140,91,332,411,0.308,51.1,10.2,0.275,0.374,32.9,96.4,68.7,8.8,17.7,51.7,0.498,0.449
Rice,23,15,8,0.652,-0.06,0.14,6.0,6.0,10,4,5,4,1802,1686,940,638,1330,0.48,199,553,0.36,327,447,0.732,198,831,372,141,54,311,349,0.416,58.3,6.0,0.246,0.336,26.1,108.6,70.6,8.5,16.8,52.0,0.584,0.555
Richmond,25,12,13,0.48,2.14,0.5,5.0,7.0,10,3,1,8,1743,1702,1020,598,1365,0.438,209,612,0.342,338,456,0.741,179,832,308,143,60,292,374,0.448,51.5,7.1,0.248,0.334,21.8,103.0,66.4,8.4,15.6,49.3,0.551,0.515
Rider,22,13,9,0.591,-2.04,-4.14,10.0,3.0,6,2,7,5,1541,1460,885,573,1274,0.45,108,327,0.33,287,377,0.761,252,818,255,114,47,260,393,0.257,44.5,7.1,0.225,0.296,34.4,106.5,65.4,7.9,15.2,53.8,0.53,0.492
Robert Morris,25,11,14,0.44,-6.53,-3.96,6.0,8.0,7,4,4,7,1715,1684,1000,639,1442,0.443,185,534,0.346,252,356,0.708,244,860,352,160,86,332,393,0.37,55.1,9.2,0.175,0.247,28.3,101.4,67.7,9.5,17.1,50.3,0.532,0.507
Rutgers,24,16,8,0.667,18.35,6.56,8.0,5.0,14,2,2,5,1692,1409,965,620,1420,0.437,140,435,0.322,312,428,0.729,284,914,375,224,94,286,383,0.306,60.5,12.3,0.22,0.301,32.9,104.4,67.2,13.8,15.0,52.8,0.521,0.486
Sacramento State,24,12,12,0.5,-2.88,-0.83,5.0,6.0,8,3,4,6,1618,1627,985,595,1331,0.447,172,483,0.356,256,371,0.69,275,869,335,115,69,322,366,0.363,56.3,7.1,0.192,0.279,34.5,103.9,63.2,7.4,17.6,54.7,0.537,0.512
Sacred Heart,26,13,13,0.5,-12.17,-10.17,6.0,5.0,7,4,6,9,1848,1857,1040,687,1579,0.435,186,599,0.311,288,426,0.676,269,927,362,213,83,343,396,0.379,52.7,8.5,0.182,0.27,28.2,100.1,71.0,11.5,16.1,49.0,0.519,0.494
Saint Francis (PA),23,8,15,0.348,-13.09,-6.99,5.0,5.0,7,3,1,12,1679,1710,920,611,1339,0.456,181,479,0.378,276,391,0.706,212,783,318,115,44,300,389,0.358,52.0,4.9,0.206,0.292,27.1,104.2,70.0,7.1,16.4,49.8,0.551,0.524
Saint Joseph's,24,12,12,0.5,-0.06,-0.65,6.0,6.0,8,5,4,4,1735,1721,970,606,1420,0.427,213,636,0.335,310,466,0.665,262,849,297,161,74,311,431,0.448,49.0,9.3,0.218,0.328,29.8,102.9,69.5,9.5,15.9,49.0,0.529,0.502
Saint Louis,24,16,8,0.667,5.82,2.6,8.0,3.0,11,3,4,4,1818,1701,960,662,1433,0.462,171,488,0.35,323,443,0.729,246,942,392,116,97,292,406,0.341,59.2,10.5,0.225,0.309,29.9,107.6,70.4,6.9,15.1,53.5,0.553,0.522
Saint Mary's (CA),25,21,4,0.84,20.03,6.45,10.0,0.0,14,2,4,0,1789,1443,1010,652,1416,0.46,195,527,0.37,290,421,0.689,275,917,313,186,88,269,413,0.372,48.0,9.9,0.205,0.297,33.8,110.6,64.1,11.5,14.3,56.3,0.554,0.529
Saint Peter's,22,9,13,0.409,-9.9,-4.71,4.0,9.0,6,4,3,9,1365,1427,885,496,1281,0.387,132,456,0.289,241,341,0.707,304,792,240,139,66,278,493,0.356,48.4,10.0,0.188,0.266,37.2,96.4,64.0,9.8,16.2,53.0,0.473,0.439
Sam Houston State,23,17,6,0.739,7.44,1.18,7.0,4.0,8,1,7,5,1739,1363,925,645,1370,0.471,203,516,0.393,246,366,0.672,284,848,327,207,52,308,412,0.377,50.7,8.3,0.18,0.267,36.3,111.2,67.6,13.2,16.6,55.0,0.563,0.545
Samford,26,17,9,0.654,0.13,-4.19,11.0,2.0,11,2,6,7,2028,1840,1060,676,1500,0.451,222,657,0.338,454,600,0.757,278,948,302,196,68,338,488,0.438,44.7,8.1,0.303,0.4,31.1,110.3,69.4,10.7,15.9,52.4,0.568,0.525
San Diego,25,11,14,0.44,-1.31,2.21,4.0,7.0,8,7,3,5,1954,1984,1010,685,1513,0.453,195,545,0.358,389,508,0.766,262,838,331,173,50,293,434,0.36,48.3,5.8,0.257,0.336,29.7,109.5,70.7,9.7,14.3,49.6,0.557,0.517
San Diego State,24,19,5,0.792,15.91,8.39,10.0,2.0,12,1,6,1,1784,1573,970,626,1376,0.455,177,499,0.355,355,485,0.732,244,852,326,176,73,285,405,0.363,52.1,9.4,0.258,0.352,30.7,108.4,67.8,10.7,15.1,53.4,0.555,0.519
San Francisco,26,15,11,0.577,6.44,2.8,4.0,7.0,9,5,4,4,1947,1839,1040,670,1500,0.447,259,728,0.356,348,465,0.748,241,904,339,180,68,370,469,0.485,50.6,6.9,0.232,0.31,28.2,105.6,70.9,9.8,17.7,51.6,0.566,0.533
San Jose State,24,14,10,0.583,4.29,3.33,5.0,6.0,9,2,3,7,1635,1591,965,604,1338,0.451,182,535,0.34,245,364,0.673,270,894,311,92,90,293,361,0.4,51.5,10.5,0.183,0.272,34.7,106.7,63.5,6.0,16.2,55.9,0.541,0.519
Santa Clara,25,17,8,0.68,8.46,5.96,5.0,5.0,11,4,3,3,1888,1815,1005,676,1526,0.443,201,566,0.355,335,462,0.725,284,971,334,152,90,325,388,0.371,49.4,9.6,0.22,0.303,31.9,105.5,71.2,8.5,15.7,54.2,0.541,0.509
Seattle,25,17,8,0.68,1.8,0.11,8.0,4.0,10,1,6,5,1839,1713,1005,637,1549,0.411,230,715,0.322,335,472,0.71,284,937,325,152,79,305,460,0.462,51.0,8.4,0.216,0.305,30.3,102.7,71.2,8.5,14.7,52.0,0.519,0.485
Seton Hall,25,15,10,0.6,11.88,8.17,8.0,6.0,9,4,5,4,1728,1612,1000,596,1356,0.44,146,453,0.322,390,578,0.675,274,898,305,212,113,352,444,0.334,51.2,12.5,0.288,0.426,31.8,101.1,68.4,12.4,17.8,51.2,0.53,0.493
Siena,24,15,9,0.625,-0.86,-4.03,9.0,4.0,7,3,6,5,1658,1582,970,582,1313,0.443,155,430,0.36,339,453,0.748,233,828,299,127,110,318,421,0.327,51.4,11.5,0.258,0.345,30.2,102.8,66.5,7.9,17.2,52.8,0.542,0.502
South Alabama,24,11,13,0.458,0.28,0.15,5.0,7.0,6,4,3,8,1682,1612,965,652,1422,0.459,177,545,0.325,201,294,0.684,173,787,275,142,98,253,348,0.383,42.2,9.6,0.141,0.207,21.1,102.8,67.8,8.7,13.9,47.3,0.539,0.521
South Carolina,24,8,16,0.333,-4.23,4.85,1.0,10.0,6,6,2,6,1538,1756,975,560,1404,0.399,186,573,0.325,232,365,0.636,298,830,261,123,65,319,390,0.408,46.6,7.2,0.165,0.26,33.6,96.5,65.4,7.7,16.8,49.8,0.488,0.465
South Carolina State,23,3,20,0.13,-17.29,-2.56,0.0,7.0,2,3,1,17,1703,1974,930,629,1491,0.422,153,477,0.321,292,433,0.674,318,812,313,168,71,341,486,0.32,49.8,8.7,0.196,0.29,34.0,99.6,73.6,9.8,16.7,48.4,0.502,0.473
South Carolina Upstate,24,11,13,0.458,-8.6,-3.69,6.0,7.0,9,2,2,11,1646,1672,965,604,1296,0.466,156,449,0.347,282,433,0.651,200,750,285,178,109,343,483,0.346,47.2,13.4,0.218,0.334,26.2,100.1,68.2,10.8,18.6,47.5,0.548,0.526
South Dakota,25,11,14,0.44,-10.37,-2.59,6.0,7.0,7,5,2,8,1722,1844,1000,602,1405,0.428,216,558,0.387,302,393,0.768,218,849,303,111,35,306,424,0.397,50.3,4.0,0.215,0.28,25.9,102.4,67.3,6.6,16.1,50.0,0.541,0.505
South Dakota State,25,14,11,0.56,-1.82,-0.15,9.0,4.0,8,1,4,9,1747,1758,1010,624,1394,0.448,192,553,0.347,307,388,0.791,164,800,270,129,72,310,355,0.397,43.3,8.1,0.22,0.278,20.2,101.3,68.3,7.5,16.4,48.0,0.553,0.516
South Florida,24,10,14,0.417,2.72,1.97,3.0,8.0,7,8,2,5,1744,1726,965,639,1430,0.447,176,519,0.339,290,445,0.652,292,890,330,159,68,329,432,0.363,51.6,8.1,0.203,0.311,33.5,103.5,69.8,9.4,16.7,52.1,0.531,0.508
Southeast Missouri State,25,13,12,0.52,-6.35,-4.95,8.0,4.0,7,3,5,8,1922,1879,1010,667,1519,0.439,217,634,0.342,371,529,0.701,228,855,365,176,88,335,520,0.417,54.7,9.9,0.244,0.348,25.8,102.6,74.2,9.4,15.9,49.4,0.543,0.511
Southeastern Louisiana,24,14,10,0.583,-7.21,-4.45,8.0,3.0,9,3,4,6,1867,1837,975,654,1454,0.45,194,534,0.363,365,486,0.751,251,826,331,177,41,293,414,0.367,50.6,5.2,0.251,0.334,29.1,108.1,70.8,10.2,14.8,49.1,0.554,0.517
Southern,23,12,11,0.522,-6.25,-3.88,8.0,3.0,7,0,4,11,1716,1679,925,606,1350,0.449,195,534,0.365,309,429,0.72,176,718,357,203,57,345,477,0.396,58.9,7.8,0.229,0.318,22.5,99.6,74.5,11.8,18.2,46.8,0.552,0.521
Southern California,23,17,6,0.739,13.15,7.63,9.0,3.0,12,1,3,3,1662,1535,925,604,1315,0.459,135,415,0.325,317,429,0.739,221,806,328,170,126,298,396,0.316,54.3,14.7,0.241,0.326,29.3,104.7,68.6,10.7,16.4,49.5,0.547,0.511
Southern Illinois,26,19,7,0.731,2.42,-1.98,11.0,4.0,12,1,6,5,1735,1588,1045,617,1345,0.459,205,645,0.318,296,400,0.74,174,815,364,201,55,342,434,0.48,59.0,6.1,0.22,0.297,22.7,101.8,65.2,11.8,18.2,49.5,0.565,0.535
SIU Edwardsville,25,16,9,0.64,-4.02,-5.88,7.0,5.0,8,3,6,6,1848,1729,1000,633,1449,0.437,175,534,0.328,407,553,0.736,281,918,307,180,102,316,432,0.369,48.5,11.1,0.281,0.382,31.6,105.7,70.0,10.3,15.6,50.8,0.54,0.497
Southern Indiana,25,13,12,0.52,-6.84,-6.25,6.0,6.0,9,3,3,9,1917,1825,1015,666,1521,0.438,255,654,0.39,330,494,0.668,311,985,330,191,60,349,454,0.43,49.5,7.0,0.217,0.325,33.2,106.7,70.8,10.6,16.6,53.8,0.546,0.522
Southern Methodist,25,9,16,0.36,-0.03,4.65,4.0,8.0,6,7,1,8,1735,1852,1010,623,1492,0.418,163,516,0.316,326,484,0.674,251,885,334,168,90,323,435,0.346,53.6,9.4,0.218,0.324,27.0,97.0,70.8,9.4,15.8,48.0,0.504,0.472
Southern Mississippi,25,21,4,0.84,6.26,-2.2,10.0,2.0,12,0,7,4,1887,1593,1000,692,1497,0.462,172,536,0.321,331,466,0.71,301,940,378,222,66,289,409,0.358,54.6,7.7,0.221,0.311,34.6,110.3,68.4,13.0,14.4,53.3,0.549,0.52
Southern Utah,24,16,8,0.667,3.69,1.79,8.0,3.0,10,1,4,6,2036,1763,980,715,1497,0.478,197,574,0.343,409,576,0.71,267,943,326,189,82,327,439,0.383,45.6,8.8,0.273,0.385,30.8,111.6,74.5,10.4,15.6,53.5,0.575,0.543
St. Bonaventure,25,13,12,0.52,0.24,-0.24,7.0,5.0,10,3,2,7,1674,1662,1005,598,1403,0.426,179,507,0.353,299,426,0.702,243,831,299,168,87,304,458,0.361,50.0,10.7,0.213,0.304,28.4,100.4,66.4,10.1,15.9,49.4,0.521,0.49
St. Francis (NY),24,12,12,0.5,-16.05,-11.1,5.0,6.0,9,4,3,8,1553,1606,960,550,1357,0.405,157,446,0.352,296,424,0.698,266,802,291,178,106,323,363,0.329,52.9,10.8,0.218,0.312,30.9,96.0,67.4,11.0,17.2,48.9,0.498,0.463
