,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
126,127,Cal St. Fullerton,BW,23,13-127–6,101.7236,98.257,.5990127,48.8253,48.282,18.7198,20.859,26.6242,30.7267,38.529,33.1230,45.2336,49.7153,36.450,30.633,64.6312,-6.6199
127,128,Butler   (H) 21 Xavier,BE,25,12-134–10,102.2220,98.971,.5931128,50.3188,50151,17.8122,18.7150,20.9347,29207,27.3298,214,49.1224,51216,34.9135,32.183,66.2239,-2.7100
128,129,Southern Illinois,MVC,25,19-711–4,101.3247,98.156,.5910129,52.765,47.354,20.1286,20.379,22.6333,27.7146,30.6200,30.2164,586,45.626,31.3301,33.5150,63.9327,-1.986
129,130,South Florida,Amer,24,10-143–8,107.5122,104.1168,.5903130,50.8162,49.5134,19.5251,19.6104,33.542,28.6183,31.1179,38.5320,50.8153,48.2103,33.9184,34.4204,68.6116,-7.7223
130,131,Hawaii,BW,24,18-79–4,102.9207,99.883,.5885131,49.1241,44.78,18.4176,17.3244,30.3120,27.2120,34.490,2896,49.6204,45.421,32.1271,28.59,64.8301,-3.1116
131,132,Long Beach St.,BW,23,14-118–5,106.0148,103.1144,.5801132,47.6299,49112,18.2156,17.6222,35.915,27.3124,31.2175,30.1159,48.8237,48.5111,29.1351,33.2133,73.43,-5150
132,133,UMass Lowell,AE,24,20-67–4,105.6160,102.8139,.5758133,53.154,45.517,21.3326,19.6104,3614,27.1118,30.7198,33.6239,52.481,42.84,36.450,34.3198,68.7109,-3.2117
133,134,Penn,Ivy,23,13-115–4,109.583,106.6224,.5753134,53.154,49.1117,19228,14.3353,29.8147,28.4175,29.5248,32206,52.481,49.9164,36.167,32.183,66.4229,-5.4159
134,135,Youngstown St.   (A) 233 Fort Wayne,Horz,23,19-611–3,112.840,110.4298,.5595135,55.515,52.6288,16.553,18.4168,31.881,28.1160,29.3252,23.516,54.240,51.6243,38.710,36.4306,67.5164,-3.2119
135,136,Samford,SC,22,17-911–2,108.994,106.7227,.5586136,52.669,51.4226,18.6192,19.3118,30140,27.3124,39.520,38.2316,52.774,49.1134,35123,36.3303,66.7209,-4.9147
