,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
331,Presbyterian,BSth,28,8–20,92.5,109.1,.1303,47.3,52.5,21,19,26,31.4,34.8,38.8,47.7,53.3,30.8,34.2,68.4,-15.6
332,Bradley,MVC,31,4–27,85.3,100.7,.1298,43,49.7,25.4,17,24.9,26.7,38.3,52.2,43.9,48.7,27.7,34.5,68.1,-17.7
333,UMBC,AE,32,7–25,98.8,116.7,.1292,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38,70.1,-20.4
334,North Carolina A&T,MEAC,31,10–21,95.4,113.5,.1188,45.8,51.3,19.5,18.2,29.8,31.5,37,48.5,44.8,51.7,31.8,33.8,68.7,-16.7
335,Illinois Chicago,Horz,28,3–25,89.4,106.6,.1167,41.5,49.3,21.1,15.7,31.9,30.7,43.2,39.6,40.3,46.6,30.4,36.4,72.2,-19.5
336,Maine,AE,30,8–22,95.0,113.3,.1166,49.2,55.5,20.8,21,27.9,32.3,32,38,48.3,55.6,33.9,36.9,77.8,-17.2
337,Southeast Missouri St.,OVC,27,3–24,90.9,108.8,.1123,44.1,54,19.8,18.5,28.5,29.6,35.7,31.9,44.6,55.3,28.8,34.7,71.9,-19.1
338,Bryant,NEC,30,7–23,93.9,112.6,.1102,47.3,51.5,19.9,16,26.2,33.5,26.9,31.6,46.9,53.1,32,32.7,68.2,-17.6
339,UTSA,CUSA,30,4–26,96.7,116.0,.1102,47,59,18.1,17.2,26,27.8,37.4,46.2,46.5,57.2,32.1,41.3,73.1,-20.3
340,Southern Utah,BSky,28,4–24,97.6,118.0,.1015,49.3,57.7,18.8,17.4,23.9,31.2,35.4,45,46.5,55,36.4,42.2,68.8,-18.4
341,Northern Arizona,BSky,28,3–25,92.9,112.8,.0972,45.2,56.2,18.1,17.5,22.3,29.6,36.1,34.3,42.3,53.9,33.4,39.9,71.2,-18.6
342,Prairie View A&M,SWAC,31,7–24,87.7,106.6,.0953,41.8,50.7,21.8,23.4,30.7,36.3,36.4,47.4,42.1,53,27.3,30.6,69.7,-18.2
343,Mississippi Valley St.,SWAC,35,8–27,90.5,110.9,.0881,43,51,18.5,19.4,27.1,34.6,31.3,35.2,42,54.5,30.3,30.3,72.2,-21.3
344,UT Rio Grande Valley,WAC,27,5–22,94.5,116.0,.0860,47.2,52.1,17.7,14.4,23,35.7,29.6,31.1,45.7,51.9,33.1,35,68.5,-16.8
345,Chicago St.,WAC,29,1–28,91.3,112.3,.0853,42.6,54.5,20.4,19,29.5,33.4,28.1,43.6,40.9,51.8,30.1,38.7,70.4,-21
346,Arkansas Pine Bluff,SWAC,33,8–25,87.5,109.2,.0731,45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.6
347,Delaware St.,MEAC,30,5–25,88.4,112.6,.0586,44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,42.4,52.8,32.4,33.3,67.1,-19.9
348,Central Connecticut,NEC,29,4–25,92.1,117.7,.0559,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,68.4,-21.8
349,Grambling St.,SWAC,28,4–24,86.2,110.3,.0554,43.8,50.8,21.7,20,24.9,32.5,44.2,41.4,45.3,51.5,27.4,33.1,66.9,-19.6
350,Florida A&M,MEAC,27,6–21,83.1,107.0,.0521,44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,44.4,50.4,30.4,33.3,70.4,-18.2
