,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
285,Southern Mississippi,15,13,2,.867,8.85,-2.90,,2,0,,8,0,,3,2,,1168,919,,69.7,111.7,.304,.360,.554,54.1,53.2,13.6,9.4,.531,14.4,35.0,.205
286,Southern Utah,15,10,5,.667,1.66,1.84,,2,0,,6,1,,2,3,,1343,1110,,76.3,113.6,.394,.382,.575,54.0,45.8,12.2,9.2,.539,14.7,31.9,.287
287,St. Bonaventure,14,7,7,.500,0.56,-1.44,,1,0,,6,1,,0,4,,955,927,,66.9,101.2,.282,.363,.523,50.1,48.0,10.4,11.3,.496,16.8,30.9,.195
288,St. Francis (NY),13,6,7,.462,-14.67,-7.03,,0,1,,5,1,,1,6,,846,869,,68.1,95.6,.296,.335,.483,47.9,54.0,12.1,11.5,.444,15.9,31.5,.214
289,St. John's (NY),15,11,4,.733,7.53,-0.33,,1,3,,8,1,,0,3,,1179,1061,,73.8,105.6,.258,.294,.526,53.9,53.2,12.1,10.9,.501,15.2,34.7,.178
290,St. Thomas,17,11,6,.647,-2.13,-4.33,,2,2,,7,0,,2,6,,1304,1188,,66.9,114.7,.325,.418,.592,49.4,48.1,8.9,6.2,.558,13.9,25.0,.252
291,Stanford,14,5,9,.357,10.49,7.27,,0,4,,3,4,,0,1,,954,909,,68.0,100.2,.315,.412,.532,52.4,54.9,10.1,11.6,.498,17.9,29.6,.227
292,Stephen F. Austin,15,10,5,.667,-1.47,-3.38,,2,0,,6,2,,3,0,,1167,996,,71.4,108.1,.367,.302,.579,52.4,60.0,13.1,7.3,.544,19.5,34.9,.270
293,Stetson,13,7,6,.538,-4.23,0.41,,2,0,,3,0,,3,5,,973,926,,64.8,113.3,.207,.431,.560,50.1,52.3,9.0,9.3,.539,13.5,33.6,.152
294,Stonehill,16,5,11,.313,-11.53,-2.60,,1,1,,1,2,,3,8,,1125,1212,,71.1,98.9,.312,.422,.557,44.7,49.1,10.6,8.5,.520,17.6,18.0,.239
295,Stony Brook,14,5,9,.357,-13.50,-1.92,,1,0,,4,1,,1,7,,892,969,,65.9,96.7,.346,.483,.528,49.7,54.7,7.7,8.0,.489,17.7,22.9,.251
296,Syracuse,14,9,5,.643,5.57,-0.93,,2,1,,7,3,,1,1,,1058,967,,68.4,108.5,.284,.290,.545,49.3,52.1,11.6,18.0,.513,14.1,31.4,.210
297,Tarleton State,14,7,7,.500,-1.21,3.33,,1,1,,5,0,,0,6,,1041,944,,70.7,105.2,.481,.255,.548,48.5,52.5,15.8,8.4,.512,16.2,30.3,.322
298,TCU,13,12,1,.923,14.06,-2.79,,1,0,,8,1,,0,0,,1015,796,,71.9,108.6,.359,.308,.533,53.5,59.8,12.5,13.1,.498,13.6,36.3,.253
299,Temple,15,8,7,.533,3.42,2.75,,2,0,,5,3,,2,2,,1033,1023,,66.8,101.5,.335,.424,.539,49.4,56.4,7.0,9.9,.498,17.6,28.1,.254
300,Tennessee,13,11,2,.846,24.41,3.87,,1,0,,6,0,,1,1,,959,692,,68.6,106.6,.392,.411,.527,55.7,69.2,15.4,13.5,.485,16.5,39.5,.280
301,Tennessee State,15,9,6,.600,-7.39,-7.21,,1,1,,8,2,,0,3,,1212,1114,,72.7,111.1,.362,.407,.574,50.8,50.5,8.3,10.1,.543,14.9,28.1,.260
302,Tennessee Tech,15,4,11,.267,-12.44,0.06,,0,2,,4,3,,0,8,,1056,1104,,69.4,99.0,.233,.392,.511,49.5,53.8,10.0,5.9,.485,16.2,29.4,.163
303,Tennessee-Martin,15,9,6,.600,-9.85,-5.22,,1,1,,8,0,,1,6,,1242,1102,,74.0,110.9,.312,.392,.555,52.0,51.9,11.6,9.5,.527,13.7,32.0,.219
304,Texas,13,12,1,.923,21.00,1.00,,1,0,,9,0,,1,0,,1075,815,,70.4,115.2,.273,.356,.577,52.6,58.3,11.4,11.8,.555,14.0,32.0,.194
305,Texas A&M,13,8,5,.615,6.98,-0.09,,0,0,,6,1,,1,1,,984,892,,69.0,109.7,.477,.369,.558,53.0,55.9,12.0,9.5,.508,15.9,35.8,.353
306,Texas A&M-Commerce,15,5,10,.333,-9.43,-2.36,,1,0,,2,0,,2,8,,1045,1089,,68.1,100.6,.239,.475,.528,49.9,52.1,9.1,9.1,.506,16.8,28.0,.164
307,Texas A&M-Corpus Christi,14,8,6,.571,-2.86,-0.56,,1,0,,6,0,,1,5,,1093,1012,,73.9,105.6,.298,.365,.534,51.0,54.8,13.3,6.3,.496,15.4,32.6,.227
308,Texas Southern,14,4,10,.286,-6.21,6.95,,0,1,,3,2,,0,7,,951,1023,,71.0,93.1,.288,.282,.470,50.6,45.0,9.1,10.5,.448,16.0,32.0,.172
309,Texas State,15,7,8,.467,-3.61,-1.69,,0,2,,2,5,,3,2,,986,982,,66.8,98.4,.347,.290,.505,50.7,41.7,10.7,12.1,.467,16.0,31.1,.243
310,Texas Tech,13,10,3,.769,15.53,-1.86,,0,1,,8,0,,0,1,,1041,815,,71.7,111.7,.414,.369,.601,54.6,56.2,13.1,9.7,.572,18.0,32.2,.294
311,Texas-Rio Grande Valley,14,8,6,.571,-10.89,-2.80,,0,2,,7,0,,1,6,,1165,1120,,76.6,107.7,.460,.311,.582,52.8,54.4,6.9,10.1,.550,19.0,31.4,.316
312,The Citadel,14,6,8,.429,-8.42,-1.58,,1,1,,3,3,,2,4,,990,1036,,70.4,100.4,.274,.410,.534,47.3,50.6,7.3,6.8,.496,15.7,23.0,.215
313,Toledo,13,9,4,.692,4.34,-0.42,,0,0,,5,0,,2,2,,1105,1033,,73.5,115.6,.309,.337,.579,51.7,49.4,9.8,7.9,.547,13.4,33.0,.233
314,Towson,14,8,6,.571,-1.90,-3.54,,0,1,,2,2,,4,2,,971,948,,65.4,104.2,.343,.323,.527,53.5,56.3,10.1,10.9,.493,17.1,36.3,.240
315,Troy,15,9,6,.600,2.94,-0.06,,1,1,,4,1,,4,4,,1148,981,,70.5,108.6,.299,.406,.549,50.9,52.4,12.8,8.4,.521,15.4,32.4,.211
316,Tulane,13,8,5,.615,4.57,-2.58,,1,1,,6,1,,0,1,,1038,945,,73.9,108.0,.352,.382,.566,46.4,56.3,11.2,11.1,.518,12.8,20.4,.285
317,Tulsa,13,4,9,.308,-5.63,1.53,,0,2,,3,3,,0,4,,876,969,,70.0,96.3,.245,.416,.509,45.7,47.7,9.6,4.7,.486,16.6,26.4,.163
318,UAB,14,12,2,.857,12.51,-1.79,,3,0,,10,0,,0,1,,1212,969,,73.8,115.2,.397,.323,.572,54.7,55.9,11.4,12.5,.530,15.1,37.6,.298
319,UC Davis,13,7,6,.538,-0.75,0.25,,0,1,,3,1,,1,5,,1003,939,,73.8,103.6,.429,.338,.543,55.1,50.1,8.7,7.7,.515,18.2,35.3,.278
320,UC Irvine,13,8,5,.615,7.12,3.03,,1,0,,3,2,,3,3,,1011,858,,71.8,108.2,.308,.305,.556,55.4,52.9,10.1,8.5,.533,15.6,31.6,.208
321,UC Riverside,14,9,5,.643,0.72,1.72,,2,0,,3,1,,3,4,,1027,964,,69.0,105.3,.247,.392,.539,52.8,49.1,7.1,3.9,.513,15.1,29.1,.177
322,UC San Diego,14,6,8,.429,-7.78,1.47,,1,1,,3,2,,3,5,,932,1002,,67.2,97.3,.279,.407,.506,50.0,50.3,9.1,5.5,.472,16.2,27.5,.202
323,UC Santa Barbara,13,11,2,.846,3.84,-3.80,,2,0,,6,0,,3,2,,943,830,,67.3,106.8,.348,.295,.563,54.8,55.0,11.4,7.5,.533,17.3,31.9,.247
324,UCLA,15,13,2,.867,23.52,5.52,,4,0,,8,0,,4,0,,1185,915,,69.0,114.4,.225,.262,.561,51.8,49.8,12.7,11.3,.537,12.1,32.0,.168
325,UNC Asheville,15,9,6,.600,-4.91,-2.22,,1,1,,5,0,,3,5,,1155,1090,,71.7,105.6,.346,.374,.581,50.4,48.2,9.5,10.8,.562,19.1,27.8,.231
326,UNC Greensboro,15,8,7,.533,-1.53,-0.53,,2,0,,4,1,,3,4,,1058,966,,69.4,101.6,.298,.402,.529,51.7,61.4,9.5,7.6,.495,16.3,29.8,.218
327,UNC Wilmington,15,12,3,.800,3.43,0.81,,2,0,,6,0,,3,3,,1072,942,,65.4,109.3,.379,.349,.552,51.0,44.9,10.6,9.5,.518,14.7,31.5,.267
328,UT Arlington,15,5,10,.333,-5.34,3.16,,0,2,,3,3,,1,4,,999,960,,67.7,98.3,.351,.333,.485,53.8,50.0,10.0,10.9,.447,16.5,37.8,.238
329,Utah,15,11,4,.733,14.64,2.17,,4,0,,7,1,,3,1,,1102,915,,68.5,106.4,.340,.340,.554,54.8,55.7,6.9,13.5,.525,16.7,31.3,.237
330,Utah State,14,12,2,.857,16.51,4.82,,1,0,,7,1,,1,0,,1173,983,,71.6,115.9,.358,.439,.617,53.9,64.2,6.8,9.6,.589,15.3,26.1,.264
331,Utah Tech,15,9,6,.600,0.40,0.57,,1,1,,6,0,,2,6,,1156,1048,,71.6,107.6,.414,.399,.562,54.5,55.3,10.9,7.0,.527,17.0,32.2,.292
332,Utah Valley,15,11,4,.733,6.19,2.03,,2,0,,7,0,,3,3,,1158,1009,,71.1,105.9,.363,.391,.548,51.5,61.7,10.5,15.4,.508,15.6,29.0,.267
333,UTEP,14,8,6,.571,-0.71,2.12,,1,2,,8,2,,0,4,,984,941,,70.0,95.3,.460,.314,.519,51.2,52.6,12.4,8.5,.494,19.7,30.5,.276
334,UTSA,14,6,8,.429,-10.18,-1.02,,0,3,,6,3,,0,5,,964,1040,,69.2,98.5,.364,.415,.519,48.3,53.0,5.7,7.1,.476,17.5,28.7,.265
335,Valparaiso,15,6,9,.400,-10.60,-2.67,,0,4,,5,2,,0,6,,1025,1100,,69.9,96.2,.255,.334,.509,49.2,48.5,8.3,5.6,.480,16.3,24.4,.180
336,Vanderbilt,13,7,6,.538,6.71,2.79,,0,0,,5,3,,1,1,,908,857,,67.0,103.2,.271,.429,.527,52.3,50.5,7.6,15.1,.503,16.0,31.2,.185
337,Vermont,15,7,8,.467,-2.15,1.28,,1,0,,2,1,,4,4,,1025,1035,,66.2,101.3,.256,.419,.546,49.2,49.6,7.8,5.8,.525,16.2,21.2,.174
338,Villanova,14,7,7,.500,8.90,5.76,,1,2,,5,1,,1,3,,991,947,,64.5,108.8,.317,.498,.569,49.3,50.8,7.8,5.3,.521,14.0,23.8,.267
339,Virginia,12,10,2,.833,16.39,4.55,,2,1,,6,1,,2,1,,842,700,,63.2,110.9,.460,.375,.565,51.3,67.9,10.8,14.9,.527,13.6,27.6,.324
340,Virginia Commonwealth,14,10,4,.714,4.67,-1.33,,1,0,,9,1,,0,2,,972,888,,70.4,98.6,.500,.367,.545,49.1,53.6,13.6,13.4,.499,19.7,27.2,.353
341,VMI,15,5,10,.333,-14.05,-2.47,,0,2,,5,1,,0,7,,1111,1119,,69.5,105.7,.215,.455,.550,52.1,47.5,8.3,4.4,.524,16.4,30.1,.164
342,Virginia Tech,14,11,3,.786,12.46,1.03,,1,2,,8,0,,0,3,,1055,895,,66.4,112.6,.240,.381,.569,51.8,50.9,7.5,9.5,.546,12.9,28.6,.177
343,Wagner,13,8,5,.615,-11.64,-8.18,,1,1,,4,1,,4,4,,846,820,,65.1,98.9,.253,.389,.478,53.0,53.9,11.3,6.1,.455,14.2,34.2,.161
344,Wake Forest,14,10,4,.714,7.71,3.13,,2,1,,8,0,,1,2,,1059,995,,70.3,105.7,.335,.414,.567,51.4,48.1,9.3,7.5,.530,16.8,26.7,.253
345,Washington,15,9,6,.600,6.45,5.18,,1,3,,7,4,,0,2,,1032,1013,,69.0,98.9,.329,.353,.524,48.2,45.2,10.3,16.5,.482,17.0,26.7,.248
346,Washington State,15,6,9,.400,10.54,6.87,,1,3,,4,2,,1,3,,1040,985,,65.1,105.7,.295,.422,.547,53.6,47.4,7.4,7.0,.517,17.7,33.4,.213
347,Weber State,15,7,8,.467,-2.78,0.61,,2,0,,4,1,,2,5,,1021,1025,,67.6,100.8,.343,.400,.561,49.1,49.0,8.2,5.2,.514,18.2,21.2,.277
348,West Virginia,14,10,4,.714,16.19,4.19,,0,2,,7,0,,1,3,,1112,944,,70.4,111.9,.401,.342,.572,53.4,51.8,10.4,7.5,.540,15.7,34.6,.282
349,Western Carolina,15,8,7,.533,-9.89,-4.97,,1,1,,4,3,,2,4,,1155,1036,,70.4,107.5,.337,.453,.542,53.7,53.1,8.6,5.7,.507,14.6,31.4,.243
350,Western Illinois,14,8,6,.571,-8.27,-4.46,,1,2,,6,1,,2,5,,1060,1005,,71.5,105.9,.364,.369,.556,50.1,54.0,9.0,9.6,.521,14.9,25.4,.262
351,Western Kentucky,13,8,5,.615,-3.69,-4.60,,0,2,,4,1,,2,3,,971,877,,69.9,106.9,.289,.371,.556,49.0,55.9,9.0,16.0,.536,14.5,25.4,.193
352,Western Michigan,13,4,9,.308,-10.79,-0.89,,0,0,,3,2,,1,6,,889,887,,65.3,104.7,.201,.411,.529,57.1,49.9,7.2,7.0,.511,17.3,37.1,.137
353,Wichita State,14,7,7,.500,5.46,1.74,,0,2,,5,3,,1,2,,907,855,,65.7,97.7,.265,.402,.509,50.7,43.0,8.4,11.5,.482,15.9,28.3,.182
354,William & Mary,14,5,9,.357,-7.52,1.23,,0,1,,5,2,,0,7,,963,958,,65.1,105.6,.321,.360,.526,51.2,53.2,11.2,6.2,.499,15.3,33.7,.215
355,Winthrop,15,6,9,.400,-7.98,-0.44,,1,1,,5,1,,0,7,,1098,1127,,69.8,104.9,.372,.435,.573,48.4,46.1,8.1,9.7,.536,19.0,28.2,.276
356,Wisconsin,12,10,2,.833,11.60,3.94,,2,0,,5,1,,2,0,,827,735,,64.1,104.3,.273,.410,.534,48.9,53.9,11.3,5.6,.509,13.1,22.9,.190
357,Wofford,15,8,7,.533,-2.93,-1.77,,0,2,,7,2,,1,5,,1130,1019,,67.9,110.9,.281,.412,.563,55.0,46.1,8.5,5.1,.532,14.5,32.4,.214
358,Wright State,15,8,7,.533,-4.84,-4.68,,1,3,,3,3,,3,3,,1173,1080,,72.3,106.3,.206,.252,.562,51.9,50.5,9.6,7.9,.545,15.8,27.4,.145
359,Wyoming,14,5,9,.357,1.74,2.28,,0,2,,4,3,,0,1,,992,966,,66.4,105.8,.344,.483,.560,50.6,49.0,7.5,6.1,.532,15.9,25.7,.238
360,Xavier,15,12,3,.800,16.88,7.01,,4,0,,8,1,,3,0,,1257,1109,,74.5,112.5,.352,.305,.598,54.0,68.8,10.1,10.3,.570,16.6,30.4,.255
361,Yale,14,10,4,.714,8.39,-3.78,,0,1,,4,0,,4,4,,1055,797,,66.4,112.5,.229,.390,.561,57.0,52.8,9.5,12.3,.542,14.9,34.8,.159
362,Youngstown State,15,10,5,.667,2.39,-3.84,,2,2,,5,2,,4,3,,1261,1100,,71.2,116.2,.298,.334,.590,53.3,46.8,10.3,7.1,.556,15.4,34.1,.234
