,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
50,Chicago State,17,3,14,.176,-10.21,-1.44,,,,,3,0,,0,14,,1101,1250,,66.3,96.9,.330,.410,.509,49.4,47.6,8.2,7.9,.466,18.6,32.8,.245
51,Cincinnati,15,10,5,.667,9.12,1.05,,1,1,,9,1,,0,2,,1194,1038,,71.5,111.4,.276,.389,.554,51.7,52.0,9.7,11.1,.532,12.9,30.4,.190
52,Clemson,14,11,3,.786,9.51,-0.14,,3,0,,8,0,,1,1,,1063,928,,67.6,110.3,.321,.384,.583,51.7,59.8,8.0,8.8,.546,14.5,24.1,.252
53,Cleveland State,16,9,7,.563,-1.02,-1.87,,3,1,,6,2,,3,5,,1086,1027,,64.7,104.1,.281,.299,.511,49.6,50.0,10.6,9.2,.483,14.2,34.2,.192
54,Coastal Carolina,13,7,6,.538,-8.07,-2.07,,1,1,,5,3,,2,3,,1006,886,,70.7,109.5,.299,.332,.553,53.3,47.6,10.1,12.4,.514,15.5,34.4,.235
55,Colgate,15,8,7,.533,0.42,-5.43,,2,0,,2,2,,5,3,,1207,1092,,69.7,115.4,.251,.379,.606,52.0,58.3,9.8,5.5,.591,14.8,27.4,.174
56,College of Charleston,15,14,1,.933,8.96,0.32,,2,0,,10,0,,4,1,,1207,1057,,70.6,112.1,.327,.484,.560,54.5,47.1,10.3,9.1,.526,15.7,36.0,.244
57,Colorado,15,9,6,.600,10.88,4.68,,1,3,,6,1,,1,3,,1142,1049,,72.5,105.1,.321,.344,.537,53.2,49.6,11.4,11.0,.515,15.7,32.1,.209
58,Colorado State,15,8,7,.533,5.74,2.88,,0,2,,6,2,,1,3,,1130,1047,,68.6,109.8,.314,.394,.592,47.2,64.5,9.9,7.3,.567,13.8,17.1,.226
59,Columbia,16,6,10,.375,-12.91,-4.62,,1,0,,5,4,,1,6,,1087,1110,,69.2,96.6,.302,.406,.507,50.1,51.3,10.2,5.5,.471,18.2,31.3,.216
60,Connecticut,15,14,1,.933,25.20,3.66,,3,1,,9,0,,2,1,,1234,911,,71.0,115.9,.327,.446,.588,56.6,66.2,10.9,12.4,.557,15.3,34.6,.244
61,Coppin State,17,5,12,.294,-10.74,1.97,,0,0,,3,0,,2,12,,1265,1481,,73.6,98.2,.346,.442,.549,42.0,41.6,10.7,6.1,.516,17.8,18.7,.248
62,Cornell,14,11,3,.786,1.26,-6.49,,1,0,,6,0,,5,3,,1176,1004,,72.8,115.4,.218,.496,.593,51.7,64.1,13.7,6.3,.578,15.2,31.6,.154
63,Creighton,14,8,6,.571,16.64,7.85,,2,1,,6,1,,0,2,,1074,951,,71.2,107.7,.277,.431,.570,52.6,58.6,8.0,9.7,.547,15.0,24.1,.196
64,Dartmouth,15,4,11,.267,-12.47,-4.47,,0,1,,3,3,,1,6,,1028,1019,,71.5,95.0,.269,.446,.520,49.9,52.8,8.1,10.6,.495,19.1,24.8,.183
65,Davidson,14,8,6,.571,0.48,0.33,,1,1,,4,3,,2,2,,1002,977,,67.7,103.0,.390,.362,.541,47.4,55.4,7.9,4.2,.501,14.8,23.9,.280
66,Dayton,15,10,5,.667,9.58,0.98,,2,0,,8,0,,1,2,,1007,878,,64.8,102.8,.385,.359,.540,56.4,60.4,6.8,13.9,.506,18.2,34.0,.265
67,Delaware,15,9,6,.600,-4.30,-2.51,,1,1,,5,3,,2,3,,1060,1061,,67.8,104.1,.346,.380,.536,48.4,49.5,9.7,11.5,.502,14.2,26.0,.244
68,Delaware State,13,1,12,.077,-16.79,2.40,,0,0,,1,3,,0,9,,798,978,,68.9,89.1,.222,.293,.483,48.7,50.2,9.4,8.2,.461,20.1,29.1,.147
69,Denver,16,10,6,.625,-6.15,-5.01,,1,2,,5,2,,3,4,,1210,1193,,69.6,105.3,.496,.245,.579,53.6,43.0,7.6,8.3,.544,19.0,29.6,.342
70,DePaul,15,7,8,.467,-0.08,3.45,,1,3,,5,2,,2,4,,1078,1131,,70.9,99.8,.298,.411,.526,46.6,53.5,9.9,9.5,.483,16.8,26.9,.235
71,Detroit Mercy,15,6,9,.400,-3.20,0.51,,2,2,,4,1,,2,7,,1110,1134,,67.9,108.2,.296,.446,.535,50.8,45.1,8.4,5.8,.500,15.1,34.9,.220
72,Drake,15,11,4,.733,3.33,-1.39,,2,2,,7,0,,0,4,,1102,960,,69.4,105.9,.295,.378,.555,51.1,50.1,8.5,8.2,.521,14.3,24.4,.225
73,Drexel,14,8,6,.571,0.42,-2.43,,2,0,,6,2,,1,2,,929,852,,64.2,102.4,.229,.417,.508,52.3,47.7,9.6,8.6,.485,14.6,32.7,.155
74,Duke,14,11,3,.786,17.40,4.40,,2,1,,8,0,,0,1,,1034,852,,66.4,111.3,.294,.364,.543,56.8,55.0,9.7,11.9,.503,14.7,38.7,.231
75,Duquesne,15,11,4,.733,4.52,-0.34,,1,1,,10,2,,0,2,,1124,1051,,68.2,109.9,.250,.376,.532,50.9,55.0,10.9,11.1,.510,14.1,36.3,.172
76,East Carolina,15,10,5,.667,0.01,-3.93,,1,1,,6,2,,1,2,,1078,1019,,68.7,104.7,.405,.429,.526,53.4,57.1,9.6,6.8,.490,15.6,35.2,.274
77,East Tennessee State,15,6,9,.400,-6.69,-6.15,,2,0,,3,4,,2,4,,1060,1017,,68.3,103.4,.283,.345,.533,52.3,50.5,9.9,9.7,.512,17.2,33.7,.185
78,Eastern Illinois,15,6,9,.400,-10.46,-2.61,,2,0,,4,4,,2,4,,1041,1031,,72.3,95.9,.390,.289,.508,46.4,54.2,12.6,8.6,.480,16.8,25.6,.243
79,Eastern Kentucky,15,8,7,.533,-5.90,1.02,,1,1,,6,1,,1,5,,1216,1115,,76.3,106.3,.270,.411,.527,50.4,55.2,13.1,12.5,.510,14.8,33.1,.168
80,Eastern Michigan,13,3,10,.231,-9.33,-1.33,,0,0,,2,2,,1,5,,963,1050,,71.0,103.3,.283,.320,.534,46.3,37.8,9.5,6.1,.501,14.0,25.2,.212
81,Eastern Washington,15,8,7,.533,-1.96,-0.31,,2,0,,3,1,,3,5,,1099,1046,,70.1,104.5,.282,.426,.558,54.5,54.4,8.3,10.3,.528,18.4,31.0,.210
82,Elon,15,2,13,.133,-14.23,-2.38,,0,2,,2,3,,0,8,,998,1095,,69.2,96.1,.310,.420,.511,47.1,52.8,10.1,4.9,.478,16.2,24.4,.216
83,Evansville,15,4,11,.267,-11.20,-0.87,,0,4,,2,3,,1,6,,930,1085,,68.8,90.1,.290,.336,.466,48.3,45.4,8.8,6.7,.436,15.1,24.3,.188
84,Fairfield,14,6,8,.429,-6.99,-4.29,,2,2,,4,2,,0,5,,907,901,,65.9,98.4,.391,.414,.505,50.3,45.4,8.5,9.7,.460,15.9,29.3,.276
85,Fairleigh Dickinson,16,8,8,.500,-11.85,-6.99,,1,0,,5,1,,2,6,,1246,1225,,71.6,107.1,.258,.391,.536,49.7,50.5,12.0,6.1,.507,14.5,32.5,.188
86,Florida,13,7,6,.538,13.10,4.72,,0,1,,4,2,,1,1,,976,867,,71.3,105.3,.342,.332,.547,50.7,45.7,9.2,14.8,.507,14.4,24.9,.257
87,Florida A&M,12,2,10,.167,-19.54,4.86,,0,1,,2,1,,0,9,,670,898,,67.4,82.0,.294,.294,.445,45.4,42.7,9.7,9.1,.408,21.0,29.7,.200
88,Florida Atlantic,13,12,1,.923,14.90,-0.37,,2,0,,8,0,,4,1,,1021,795,,69.6,112.8,.249,.419,.575,54.9,55.0,10.5,5.9,.559,15.3,31.6,.168
89,Florida Gulf Coast,15,12,3,.800,3.60,0.32,,2,0,,5,0,,4,3,,1099,1009,,66.9,108.5,.311,.461,.553,51.3,53.0,10.3,10.6,.519,15.4,31.0,.231
90,Florida International,13,6,7,.462,-7.78,-2.96,,0,2,,6,2,,0,5,,954,981,,74.4,98.7,.281,.365,.547,47.3,47.8,12.5,11.1,.531,19.6,25.7,.179
91,Florida State,15,4,11,.267,-0.04,5.43,,2,2,,4,4,,0,3,,1029,1111,,69.3,98.9,.335,.316,.519,46.5,54.0,9.1,10.8,.478,16.2,27.1,.247
92,Fordham,14,12,2,.857,0.22,-6.42,,0,1,,11,1,,1,1,,1029,936,,70.9,102.7,.397,.442,.556,52.3,54.9,9.9,14.9,.510,18.1,27.4,.302
93,Fresno State,13,5,8,.385,1.15,3.06,,1,1,,3,2,,2,3,,789,799,,63.9,94.9,.268,.400,.507,47.9,49.8,9.6,11.1,.473,17.2,24.8,.197
94,Furman,15,10,5,.667,0.59,-3.24,,1,1,,7,1,,1,2,,1226,1089,,72.3,113.1,.260,.462,.598,52.2,64.3,11.4,9.5,.578,16.1,27.8,.187
95,Gardner-Webb,14,7,7,.500,-0.64,-1.06,,2,0,,4,1,,2,6,,1033,891,,70.1,105.3,.298,.331,.548,54.7,49.1,10.9,17.2,.528,17.1,33.5,.196
96,George Mason,14,9,5,.643,5.01,0.43,,1,0,,8,0,,0,2,,992,928,,67.7,103.8,.337,.418,.560,53.5,58.3,6.0,10.3,.545,18.3,30.0,.211
97,George Washington,14,7,7,.500,-1.22,-3.22,,1,0,,6,2,,1,2,,1064,1011,,69.1,110.0,.359,.418,.585,49.6,48.1,8.0,9.6,.552,16.2,27.0,.265
